file,entry_index,id,source_language,common_name,translated_name,original_name,cache_translation,reasons
ingredients/1.1.10.5.json,201,1.1.10.5.13.4,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.12.4.json,278,1.1.12.4.18.5,haw,Moloa'a Bay coffee,Moloa'a Bay coffee,Moloaʻa Bay coffee,Moloa'a Bay coffee,article_in_short_translation
ingredients/1.1.12.4.json,298,1.1.12.4.20.2,haw,Moloa'a Bay coffee,Moloa'a Bay coffee,Moloaʻa Bay coffee,Moloa'a Bay coffee,article_in_short_translation
ingredients/1.1.14.3.json,71,1.1.14.3.6.16,fr,Gaspé trout,Gaspé trout,Gaspé trout,Gaspé trout,translated_same_as_original
ingredients/1.1.14.6.json,237,1.1.14.6.18.6,fr,Tourtière filling,Tourtière filling,Tourtière filling,Tourtière filling,translated_same_as_original
ingredients/1.1.5.1.json,172,1.1.5.1.14.1,fr,Andouille sausage,Andouille sausage,Andouille sausage,Andouille sausage,translated_same_as_original
ingredients/1.1.5.2.json,203,1.1.5.2.14.1,fr,Andouille sausage,Andouille sausage,Andouille sausage,Andouille sausage,translated_same_as_original
ingredients/1.1.8.1.json,142,1.1.8.1.8.14,es,chile piquín,chile piquín,chile piquín,chile piquín,translated_same_as_original
ingredients/1.1.8.1.json,185,1.1.8.1.13.4,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.8.1.json,247,1.1.8.1.18.9,es,chile piquín,chile piquín,chile piquín,chile piquín,translated_same_as_original
ingredients/1.1.8.2.json,211,1.1.8.2.13.8,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.8.4.json,197,1.1.8.4.13.6,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.8.5.json,203,1.1.8.5.13.8,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.8.6.json,213,1.1.8.6.13.7,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.9.1.json,26,1.1.9.1.2.4,ny,Chimayó chile,Chimayó chile,Chimayó chile,Chimayó chile,translated_same_as_original
ingredients/1.1.9.1.json,126,1.1.9.1.8.2,ny,ground Chimayó chile,ground Chimayó chile,ground Chimayó chile,ground Chimayó chile,translated_same_as_original
ingredients/1.1.9.1.json,187,1.1.9.1.13.7,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.9.1.json,234,1.1.9.1.18.5,ny,Chimayó chile,Chimayó chile,Chimayó chile,Chimayó chile,translated_same_as_original
ingredients/1.1.9.1.json,279,1.1.9.1.24.1,ceb,piñon wood,piñon wood,piñon wood,piñon wood,translated_same_as_original
ingredients/1.1.9.2.json,199,1.1.9.2.13.4,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.9.3.json,192,1.1.9.3.13.6,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.9.3.json,296,1.1.9.3.24.1,ceb,piñon wood,piñon wood,piñon wood,piñon wood,translated_same_as_original
ingredients/1.1.9.4.json,29,1.1.9.4.2.4,ny,Chimayó chile,Chimayó chile,Chimayó chile,Chimayó chile,translated_same_as_original
ingredients/1.1.9.4.json,176,1.1.9.4.8.2,ny,ground Chimayó chile,ground Chimayó chile,ground Chimayó chile,ground Chimayó chile,translated_same_as_original
ingredients/1.1.9.4.json,246,1.1.9.4.13.6,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.1.9.4.json,386,1.1.9.4.24.3,ceb,piñon wood,piñon wood,piñon wood,piñon wood,translated_same_as_original
ingredients/1.1.9.5.json,179,1.1.9.5.24.1,ceb,piñon wood,piñon wood,piñon wood,piñon wood,translated_same_as_original
ingredients/1.2.1.1.json,86,1.2.1.1.6.24,es,sea ​​cucumber,sea ​​cucumber,pepino de mar,sea ​​cucumber,translated_non_ascii_but_original_ascii
ingredients/1.2.1.1.json,147,1.2.1.1.13.3,es,pico de gallo,pico de gallo,pico de gallo,pico de gallo,translated_same_as_original
ingredients/1.2.1.1.json,217,1.2.1.1.21.1,es,sea ​​salt,sea ​​salt,sal de mar,sea ​​salt,translated_non_ascii_but_original_ascii
ingredients/1.2.1.2.json,146,1.2.1.2.18.7,es,Caborca ​​regional cheese,Caborca ​​regional cheese,queso regional de Caborca,Caborca ​​regional cheese,translated_non_ascii_but_original_ascii
ingredients/1.2.1.2.json,152,1.2.1.2.20.1,es,Caborca ​​regional wine,Caborca ​​regional wine,vino regional de Caborca,Caborca ​​regional wine,translated_non_ascii_but_original_ascii
ingredients/1.2.1.2.json,159,1.2.1.2.21.2,es,sea ​​salt,sea ​​salt,sal de mar,sea ​​salt,translated_non_ascii_but_original_ascii
ingredients/1.2.1.3.json,37,1.2.1.3.5.4,pt,piñón,piñón,piñón,piñón,translated_same_as_original
ingredients/1.2.1.4.json,138,1.2.1.4.18.4,ar,chochas de sotol,chochas de sotol,chochas de sotol,chochas de sotol,translated_same_as_original
ingredients/1.2.1.6.json,178,1.2.1.6.13.3,es,Pico de gallo,Pico de gallo,Pico de gallo,Pico de gallo,translated_same_as_original
ingredients/1.2.1.6.json,206,1.2.1.6.15.5,da,Agave syrup,Agave syrup,Agave syrup,Agave syrup,translated_same_as_original
ingredients/1.2.1.6.json,237,1.2.1.6.19.1,it,Aloe vera,Aloe vera,Aloe vera,Aloe vera,translated_same_as_original
ingredients/1.2.2.4.json,62,1.2.2.4.5.7,pt,piñón,piñón,piñón,piñón,translated_same_as_original
ingredients/1.2.2.4.json,120,1.2.2.4.13.6,zh-CN,adobo de mixiote,adobo de mixiote,adobo de mixiote,adobo de mixiote,translated_same_as_original
ingredients/1.2.2.5.json,43,1.2.2.5.5.6,pt,piñón,piñón,piñón,piñón,translated_same_as_original
ingredients/1.2.2.5.json,109,1.2.2.5.13.7,zh-CN,adobo de mixiote,adobo de mixiote,adobo de mixiote,adobo de mixiote,translated_same_as_original
ingredients/1.2.2.6.json,178,1.2.2.6.13.3,es,Pico de gallo,Pico de gallo,Pico de gallo,Pico de gallo,translated_same_as_original
ingredients/1.2.2.6.json,188,1.2.2.6.13.13,cs,Pipián sauce,Pipián sauce,Pipián sauce,Pipián sauce,translated_same_as_original
ingredients/1.2.2.6.json,205,1.2.2.6.15.5,da,Agave syrup,Agave syrup,Agave syrup,Agave syrup,translated_same_as_original
ingredients/1.2.2.6.json,237,1.2.2.6.19.1,it,Aloe vera,Aloe vera,Aloe vera,Aloe vera,translated_same_as_original
ingredients/1.2.2.7.json,179,1.2.2.7.13.3,es,Pico de gallo,Pico de gallo,Pico de gallo,Pico de gallo,translated_same_as_original
ingredients/1.2.2.7.json,189,1.2.2.7.13.13,cs,Pipián sauce,Pipián sauce,Pipián sauce,Pipián sauce,translated_same_as_original
ingredients/1.2.2.7.json,207,1.2.2.7.15.5,da,Agave syrup,Agave syrup,Agave syrup,Agave syrup,translated_same_as_original
ingredients/1.2.2.7.json,240,1.2.2.7.19.1,it,Aloe vera,Aloe vera,Aloe vera,Aloe vera,translated_same_as_original
ingredients/1.2.2.8.json,191,1.2.2.8.13.3,es,Pico de gallo,Pico de gallo,Pico de gallo,Pico de gallo,translated_same_as_original
ingredients/1.2.2.8.json,201,1.2.2.8.13.13,cs,Pipián sauce,Pipián sauce,Pipián sauce,Pipián sauce,translated_same_as_original
ingredients/1.2.2.8.json,219,1.2.2.8.15.5,da,Agave syrup,Agave syrup,Agave syrup,Agave syrup,translated_same_as_original
ingredients/1.2.2.8.json,253,1.2.2.8.19.1,it,Aloe vera,Aloe vera,Aloe vera,Aloe vera,translated_same_as_original
ingredients/1.2.2.9.json,184,1.2.2.9.13.3,es,Pico de gallo,Pico de gallo,Pico de gallo,Pico de gallo,translated_same_as_original
ingredients/1.2.2.9.json,194,1.2.2.9.13.13,cs,Pipián sauce,Pipián sauce,Pipián sauce,Pipián sauce,translated_same_as_original
