1.3.2 Belize	2.2.1.3.24.12	1.3.2 Belize
1.6.4 Bolivian Highlands	2.2.1.3.24.36	1.6.4 Bolivian Highlands
1.6.5 Bolivian Lowlands	2.2.1.3.24.37	1.6.5 Bolivian Lowlands
1.7 Brazil	2.2.1.3.24.38	1.7 Brazil
1.7.3 Bahia	2.2.1.3.24.41	1.7.3 Bahia
2.1 British Isles	2.2.1.3.24.52	2.1 British Isles
2.2.8 Balearic Islands	2.2.1.3.24.64	2.2.8 Balearic Islands
2.3.7 Belgium	2.2.1.3.24.71	2.3.7 Belgium
2.6 Balkans / Adriatic	2.2.1.3.24.88	2.6 Balkans / Adriatic
2.6.4 Bosnia and Herzegovina	2.2.1.3.24.92	2.6.4 Bosnia and Herzegovina
2.8.3 Belarus	2.2.1.3.24.105	2.8.3 Belarus
2.8.5 Bulgaria	2.2.1.3.24.107	2.8.5 Bulgaria
3.6.5 Burundi	2.2.1.3.24.152	3.6.5 Burundi
3.7.3 Botswana	2.2.1.3.24.156	3.7.3 Botswana
4.1.4 Black Sea Turkey	2.2.1.3.24.172	4.1.4 Black Sea Turkey
5.1.3 Baloch Belt	2.2.1.3.24.203	5.1.3 Baloch Belt
5.5.3 Bihar	2.2.1.3.24.216	5.5.3 Bihar
5.7.2 Bhutan	2.2.1.3.24.224	5.7.2 Bhutan
7.2.3 Brunei	2.2.1.3.24.269	7.2.3 Brunei
Baaduu	3.3.1.3.11.6	Baaduu
Baanh chunga	5.5.5.1.23.3	Baanh chunga
Baanhor dhuwa	5.5.5.1.24.6	Baanhor dhuwa
Baans Bhamori mushroom	5.4.5.2.2.28	Baans Bhamori mushroom
Baans gaj	5.5.5.1.2.20	Baans gaj
Baans Karil mushroom	5.4.5.2.2.33	Baans Karil mushroom
Baans ki chatai	5.5.4.1.23.5	Baans ki chatai
Baans ki chhalni	5.5.4.1.23.6	Baans ki chhalni
Baans ki tokri	5.5.3.4.23.3	Baans ki tokri
Baans ki tokri	5.5.4.1.23.4	Baans ki tokri
Baans ki tokri	5.5.4.2.23.4	Baans ki tokri
Baans ki tokri	5.5.4.3.23.3	Baans ki tokri
Baans kope	5.5.3.4.18.5	Baans kope
Baans kope	5.5.3.4.2.3	Baans kope
Baans kope	5.5.4.1.2.11	Baans kope
Baans kope	5.5.4.2.18.5	Baans kope
Baans kope	5.5.4.2.2.17	Baans kope
Baans kope	5.5.4.3.18.8	Baans kope
Baans kope	5.5.4.3.2.14	Baans kope
Baans kope ka achar	5.5.3.4.13.10	Baans kope ka achar
Baans kope ka achar	5.5.3.4.14.7	Baans kope ka achar
Baans kope ka achar	5.5.4.2.13.7	Baans kope ka achar
Baans kope ka achar	5.5.4.2.14.9	Baans kope ka achar
Baans kope ka achar	5.5.4.3.13.8	Baans kope ka achar
Baans kope ka achar	5.5.4.3.14.4	Baans kope ka achar
babă albă	2.8.6.2.18.6	white lady
Baba figue	3.8.3.1.18.5	Baba figue
Baba figue	3.8.3.1.2.16	Baba figue
Baba figue	3.8.3.3.18.7	Baba figue
Baba figue	3.8.3.3.2.8	Baba figue
baba ghanoush	4.3.3.1.13.5	baba ghanoush
baba ghanoush	4.3.3.2.13.3	baba ghanoush
baba ghanoush	4.3.4.1.13.5	baba ghanoush
baba ghanoush	4.3.4.2.13.4	baba ghanoush
baba ghanoush	4.3.4.4.13.4	baba ghanoush
baba neagră	2.8.6.1.18.7	the black lady
babă neagră	2.8.6.2.18.7	black woman
Babaco	1.5.4.1.3.9	Babaco
Babaco	1.5.4.2.12.7	Babaco
Babaco	1.5.4.2.3.8	Babaco
Babaco	1.5.4.3.3.2	Babaco
babaco	9.2.2.2.18.6	babaco
babaco	9.2.2.2.3.50	babaco
babaçu	1.7.2.4.18.4	babassu
babagarei	6.7.1.1.6.19	babagarei
babai	9.4.4.1.18.1	babai
Băbească Neagră	2.8.4.4.20.10	Black Baby
babenda greens	3.4.7.3.18.1	babenda greens
Babić	2.6.2.2.20.5	Midwife
Babic de Buzău	2.8.4.2.14.12	Babic from Buzau
Babic de Buzău	2.8.4.2.6.27	Babic from Buzau
