1.4.3 Dominican	2.2.1.3.24.19	1.4.3 Dominican
1.4.8 Dutch Caribbean	2.2.1.3.24.24	1.4.8 Dutch Caribbean
2.9.1 Denmark	2.2.1.3.24.111	2.9.1 Denmark
3.3.4 Djibouti	2.2.1.3.24.133	3.3.4 Djibouti
3.5.4 Democratic Republic of the Congo	2.2.1.3.24.145	3.5.4 Democratic Republic of the Congo
5.3.3 Delhi / Upper Gangetic Plain	2.2.1.3.24.210	5.3.3 Delhi / Upper Gangetic Plain
6.1.3 Dongbei / Northeast China	2.2.1.3.24.231	6.1.3 Dongbei / Northeast China
D-tilo	1.3.5.2.19.3	D-tilo
D.O. Saimaa honey	2.9.4.2.18.6	D.O. Saimaa honey
Da Hao fish balls	6.3.1.3.18.2	Da Hao fish balls
Da Ying duck	6.2.2.2.6.9	Da Ying duck
da'ok oil	9.4.1.1.19.13	da'ok oil
da'ok oil	9.4.1.2.19.13	da'ok oil
Daadhii	3.3.1.3.20.7	Daadhii
daal powder	7.1.1.1.18.4	daal powder
dab	2.3.8.4.6.12	dab
Daba yizhi fruit	6.3.1.4.18.5	Daba yizhi fruit
dabai	7.2.4.2.3.1	dabai
dabai paste	7.2.4.2.18.5	dabai paste
Dabancheng cold-water rainbow trout	6.4.4.3.18.10	Dabancheng cold-water rainbow trout
Dabancheng cold-water rainbow trout	6.4.4.3.6.13	Dabancheng cold-water rainbow trout
Dabancheng Kazakh fat-tailed sheep	6.4.4.3.18.11	Dabancheng Kazakh fat-tailed sheep
Dabancheng Kazakh fat-tailed sheep	6.4.4.3.6.3	Dabancheng Kazakh fat-tailed sheep
Dabancheng snow chrysanthemum	6.4.4.3.18.9	Dabancheng snow chrysanthemum
Dabancheng snow chrysanthemum	6.4.4.3.19.1	Dabancheng snow chrysanthemum
Dabbas dates	4.5.6.2.3.2	Dabbas dates
Dabeli masala	5.4.1.2.13.5	Dabeli masala
Dabeli masala	5.4.1.2.18.3	Dabeli masala
Dabinett apples	2.1.1.4.3.2	Dabinett apples
dabu-dabu	7.3.5.2.13.1	dabu-dabu
dabu-dabu	7.3.5.2.17.5	dabu-dabu
dabu-dabu	7.3.7.1.13.2	dabu-dabu
dabu-dabu	7.3.7.1.17.7	dabu-dabu
dabu-dabu iris	7.3.5.2.13.2	dabu-dabu iris
Dabuledu	1.3.4.2.14.8	Dabuledu
Dabuledu	1.3.4.2.18.8	Dabuledu
