1.1.13 English-speaking Canada	1.1.12.5.24.3	1.1.13 English-speaking Canada
1.5.4 Ecuadorian Highlands	2.2.1.3.24.30	1.5.4 Ecuadorian Highlands
1.5.5 Ecuadorian Coast	2.2.1.3.24.31	1.5.5 Ecuadorian Coast
2. Europe	2.2.1.3.24.51	2. Europe
2.1.1 England	2.2.1.3.24.53	2.1.1 England
2.8 Eastern Europe	2.2.1.3.24.102	2.8 Eastern Europe
2.9.6 Estonia	2.2.1.3.24.116	2.9.6 Estonia
3.2.1 Egypt	2.2.1.3.24.126	3.2.1 Egypt
3.3.1 Ethiopia	2.2.1.3.24.130	3.3.1 Ethiopia
3.3.2 Eritrea	2.2.1.3.24.131	3.3.2 Eritrea
3.6 East Africa / Great Lakes	2.2.1.3.24.147	3.6 East Africa / Great Lakes
4.5.3 Eastern Arabia / Gulf Coast	2.2.1.3.24.189	4.5.3 Eastern Arabia / Gulf Coast
4.6.5 Eastern Iran / Khorasan	2.2.1.3.24.198	4.6.5 Eastern Iran / Khorasan
5.5 East India	2.2.1.3.24.215	5.5 East India
6. East Asia	2.2.1.3.24.228	6. East Asia
8.2.3 Eastern Siberia	2.2.1.3.24.293	8.2.3 Eastern Siberia
e-fu noodles	6.3.1.1.1.11	e-fu noodles
Earl Grey tea	2.1.1.1.16.12	Earl Grey tea
Earl Grey tea	2.1.1.1.20.1	Earl Grey tea
early indica rice	6.2.3.3.1.2	early indica rice
early millet	3.4.1.4.1.7	early millet
early onions	6.7.6.2.2.14	early onions
early onions	6.7.6.2.9.2	early onions
Early potatoes	2.9.4.1.1.14	Early potatoes
early rice	6.7.6.5.1.6	early rice
early yam	9.5.2.3.1.4	early yam
early yam	9.5.2.4.1.6	early yam
early-harvest olive oil	2.7.1.1.10.3	early-harvest olive oil
early-ripening grapes	2.8.2.3.3.2	early-ripening grapes
Earth oven	9.1.1.3.23.7	Earth oven
Earth oven	9.1.1.4.23.5	Earth oven
Earth oven	9.1.1.5.23.6	Earth oven
Earth oven	9.1.4.1.23.5	Earth oven
Earth oven	9.1.5.3.23.3	Earth oven
earth oven	3.1.1.4.23.3	earth oven
Earth oven ash	9.1.1.3.24.6	Earth oven ash
earth oven heat	9.4.3.4.24.1	earth oven heat
earth oven heat	9.4.4.1.24.5	earth oven heat
earth oven heat	9.4.4.3.24.5	earth oven heat
earth-oven heat	9.4.4.1.24.7	earth-oven heat
