1.4.9 French Caribbean	2.2.1.3.24.25	1.4.9 French Caribbean
2.3 France and Low Countries	2.2.1.3.24.65	2.3 France and Low Countries
2.9.4 Finland	2.2.1.3.24.114	2.9.4 Finland
9.3.2 Fiji	2.2.1.3.24.307	9.3.2 Fiji
Faarsoo	3.3.1.3.20.4	Faarsoo
faba asturiana de la Granja	2.2.2.3.18.1	Asturian bean from the Farm
faba asturiana de la Granja	2.2.2.3.4.1	Asturian bean from the Farm
Faba bean	3.3.1.1.4.1	Faba bean
Faba bean	3.3.1.3.4.2	Faba bean
Faba bean	3.3.1.4.4.5	Faba bean
Faba bean	3.3.2.1.4.2	Faba bean
Faba bean	3.3.2.3.4.4	Faba bean
Faba beans	9.1.2.2.4.4	Faba beans
Faba beans	9.1.2.3.4.2	Faba beans
faba beans	1.1.13.3.4.10	faba beans
faba branca	2.2.2.2.4.3	faba branca
fabas	2.2.2.1.4.1	fabas
fabas	2.2.2.2.4.2	fabas
fabes	2.2.2.3.4.2	fabes
fagiolana della Val Borbera quarantina	2.4.1.1.4.11	fagiolana from Val Borbera in the forties
fagiolana della Val Borbera tardiva	2.4.1.1.4.12	late Val Borbera bean
fagioli bianchi	2.4.2.1.4.9	fagioli bianchi
fagioli bianchi	2.4.2.2.4.5	fagioli bianchi
fagioli bianchi	2.4.2.3.4.4	fagioli bianchi
fagioli bianchi	2.4.2.4.4.4	fagioli bianchi
fagioli bianchi	2.4.3.2.4.9	fagioli bianchi
fagioli bianchi	2.4.3.3.4.10	fagioli bianchi
fagioli bianchi	2.4.3.4.4.3	fagioli bianchi
fagioli bianchi	2.4.4.1.4.5	fagioli bianchi
fagioli bianchi	2.4.4.2.4.10	fagioli bianchi
fagioli bianchi	2.4.4.3.4.4	fagioli bianchi
fagioli bianchi	2.4.5.4.4.6	fagioli bianchi
fagioli bianchi	2.4.6.1.4.7	fagioli bianchi
fagioli bianchi	2.4.6.2.4.6	fagioli bianchi
fagioli bianchi	2.4.6.3.4.6	fagioli bianchi
fagioli bianchi	2.4.7.1.4.6	fagioli bianchi
fagioli bianchi	2.4.7.2.4.6	fagioli bianchi
fagioli bianchi	2.4.7.3.4.6	fagioli bianchi
fagioli bianchi	2.4.7.4.4.6	fagioli bianchi
fagioli bianchi	2.5.4.3.4.3	fagioli bianchi
fagioli bianchi di Badalucco	2.4.1.2.4.3	white beans from Badalucco
fagioli bianchi di Conio	2.4.1.2.4.4	Conio white beans
fagioli bianchi di Pigna	2.4.1.2.4.5	Pigna white beans
fagioli borlotti	2.4.1.4.4.5	fagioli borlotti
fagioli borlotti	2.4.2.1.4.8	fagioli borlotti
fagioli borlotti	2.4.2.2.4.4	fagioli borlotti
fagioli borlotti	2.4.2.3.4.3	fagioli borlotti
fagioli borlotti	2.4.2.4.4.2	fagioli borlotti
fagioli borlotti	2.4.3.2.4.8	fagioli borlotti
fagioli borlotti	2.4.3.3.4.8	fagioli borlotti
fagioli borlotti	2.4.3.4.4.1	fagioli borlotti
fagioli borlotti	2.4.4.1.4.4	fagioli borlotti
fagioli borlotti	2.4.4.3.4.5	fagioli borlotti
fagioli borlotti	2.4.5.4.4.5	fagioli borlotti
fagioli borlotti	2.4.6.1.4.9	fagioli borlotti
fagioli borlotti	2.4.6.2.4.8	fagioli borlotti
fagioli borlotti	2.4.6.3.4.8	fagioli borlotti
fagioli borlotti	2.4.7.1.4.8	fagioli borlotti
fagioli borlotti	2.4.7.2.4.8	fagioli borlotti
fagioli borlotti	2.4.7.3.4.8	fagioli borlotti
fagioli borlotti	2.4.7.4.4.8	fagioli borlotti
fagioli borlotti	2.5.4.3.4.1	fagioli borlotti
fagioli cannellini	2.4.1.2.4.9	fagioli cannellini
fagioli cannellini	2.4.2.4.4.3	fagioli cannellini
fagioli cannellini	2.4.3.2.4.7	fagioli cannellini
fagioli cannellini	2.4.3.3.4.9	fagioli cannellini
fagioli cannellini	2.4.3.4.4.2	fagioli cannellini
fagioli cannellini	2.4.4.1.4.3	fagioli cannellini
fagioli cannellini	2.4.4.2.4.9	fagioli cannellini
fagioli cannellini	2.4.4.3.4.3	fagioli cannellini
fagioli cannellini	2.4.5.4.4.7	fagioli cannellini
fagioli cannellini	2.4.6.1.4.8	fagioli cannellini
fagioli cannellini	2.4.6.2.4.7	fagioli cannellini
fagioli cannellini	2.4.6.3.4.7	fagioli cannellini
fagioli cannellini	2.4.7.1.4.7	fagioli cannellini
fagioli cannellini	2.4.7.2.4.7	fagioli cannellini
fagioli cannellini	2.4.7.3.4.7	fagioli cannellini
fagioli cannellini	2.4.7.4.4.7	fagioli cannellini
fagioli cannellini	2.5.4.3.4.2	fagioli cannellini
fagioli secchi	2.4.2.3.4.5	fagioli secchi
fagioli secchi	2.5.4.3.4.4	fagioli secchi
Fagiolina del Trasimeno	2.4.3.2.18.6	Trasimeno bean
Fagiolina del Trasimeno	2.4.3.2.4.2	Trasimeno bean
fagiolini	2.4.3.4.2.23	fagiolini
fagiolini	2.5.4.3.2.19	fagiolini
Fagiolo antico di San Quirino	2.4.2.2.4.1	Ancient San Quirino bean
fagiolo badda di Polizzi	2.4.6.1.18.15	Polizzi badda bean
fagiolo badda di Polizzi	2.4.6.1.4.3	Polizzi badda bean
fagiolo bianco	2.4.5.1.4.10	fagiolo bianco
Fagiolo bianco di Rotonda DOP	2.4.5.3.18.5	Rotonda PDO white bean
Fagiolo bianco di Rotonda DOP	2.4.5.3.4.2	Rotonda PDO white bean
Fagiolo bianco di Volturara	2.4.5.1.4.5	Volturara white bean
fagiolo borlotto	2.4.3.1.4.6	fagiolo borlotto
fagiolo borlotto	2.4.5.1.4.9	fagiolo borlotto
fagiolo borlotto	2.4.5.3.4.10	fagiolo borlotto
