!Khuxā coffee root	3.7.2.4.18.2	!Khuxā coffee root
!Khuxā coffee root	3.7.2.4.19.2	!Khuxā coffee root
!Khuxā coffee root powder	3.7.2.4.8.4	!Khuxā coffee root powder
//Khao- //Gan	3.7.2.4.14.6	//Eat- //Sing
//Kȗnȋ	3.7.2.4.18.3	//Kȗnȋ
//Kȗnȋ	3.7.2.4.7.4	//Kȗnȋ
//Kȗnȋ	3.7.2.4.8.5	//Kȗnȋ
2.6.8 Kosovo	2.2.1.3.24.96	2.6.8 Kosovo
2K watermelon	6.1.1.3.3.14	2K watermelon
3.6.1 Kenya	2.2.1.3.24.148	3.6.1 Kenya
4.4.4 Kurdish Highlands	2.2.1.3.24.187	4.4.4 Kurdish Highlands
5.2.3 Khyber / Northwest	2.2.1.3.24.207	5.2.3 Khyber / Northwest
6.6 Korea	2.2.1.3.24.247	6.6 Korea
6.6.1 Korean North	2.2.1.3.24.248	6.6.1 Korean North
6.6.2 Korean South	2.2.1.3.24.249	6.6.2 Korean South
6.7.4 Kansai	2.2.1.3.24.252	6.7.4 Kansai
7.3.4 Kalimantan	2.2.1.3.24.274	7.3.4 Kalimantan
8.1.1 Kazakhstan	2.2.1.3.24.285	8.1.1 Kazakhstan
8.1.2 Kyrgyzstan	2.2.1.3.24.286	8.1.2 Kyrgyzstan
9.4.5 Kiribati	2.2.1.3.24.314	9.4.5 Kiribati
≠Kuni ≠Goas	3.7.2.4.18.4	≠Kuni ≠Goas
≠Kuni ≠Goas	3.7.2.4.22.5	≠Kuni ≠Goas
K'o'xa'an	1.3.1.3.18.3	K'o'xa'an
k'tis kroeung	7.1.6.1.13.13	k'tis kroeung
k'utbi ik	1.3.2.4.13.19	k'utbi ik
Ka Kyiad Hiar	5.5.5.3.20.4	Ka Kyiad Hiar
Ka Kyiad Um	5.5.5.3.20.3	Ka Kyiad Um
Ka Lamet leaf	5.5.5.3.23.2	Ka Lamet leaf
Ka'a he'ẽ	1.8.6.2.15.6	It's a car
Ka'a he'ẽ	1.8.6.2.18.10	It's a car
Ka'a he'ẽ	1.8.6.2.19.19	It's a car
