1.1.8 Texas / Tex-Mex	1.1.7.5.24.6	1.1.8 Texas / Tex-Mex
1.4.6 Trinidadian / Tobagonian / Indo-Caribbean	2.2.1.3.24.22	1.4.6 Trinidadian / Tobagonian / Indo-Caribbean
3.1.3 Tunisia	2.2.1.3.24.123	3.1.3 Tunisia
3.6.2 Tanzania	2.2.1.3.24.149	3.6.2 Tanzania
4.1.1 Turkish Marmara / Thrace	2.2.1.3.24.169	4.1.1 Turkish Marmara / Thrace
4.6.2 Tehran / Central Iran	2.2.1.3.24.195	4.6.2 Tehran / Central Iran
5.6.5 Telangana	2.2.1.3.24.221	5.6.5 Telangana
5.7.3 Tibetan-influenced Himalayan belts	2.2.1.3.24.225	5.7.3 Tibetan-influenced Himalayan belts
6.5 Taiwan	2.2.1.3.24.243	6.5 Taiwan
7.1.2 Thailand North	2.2.1.3.24.259	7.1.2 Thailand North
7.1.3 Thailand Central	2.2.1.3.24.260	7.1.3 Thailand Central
7.1.4 Thailand South	2.2.1.3.24.261	7.1.4 Thailand South
7.5 Timor	2.2.1.3.24.281	7.5 Timor
8.1.4 Tajikistan	2.2.1.3.24.288	8.1.4 Tajikistan
8.1.5 Turkmenistan	2.2.1.3.24.289	8.1.5 Turkmenistan
9.1.6 Tasmania	2.2.1.3.24.302	9.1.6 Tasmania
9.5.2 Tonga	2.2.1.3.24.317	9.5.2 Tonga
9.5.3 Tahiti / French Polynesia	2.2.1.3.24.318	9.5.3 Tahiti / French Polynesia
T55 wheat flour	2.3.1.1.1.5	T55 wheat flour
T55 wheat flour	2.3.1.4.1.4	T55 wheat flour
ta'am	3.1.2.4.18.2	ta'am
ta'amu	9.5.1.1.1.3	ta'amu
ta'amu	9.5.1.2.1.3	ta'amu
Ta'ateemah fatoot	4.5.1.2.1.12	Ta'ateemah fatoot
Ta'ateemah fatoot	4.5.1.2.18.6	Ta'ateemah fatoot
Ta'mu	7.4.3.3.18.6	Ta'mu
Taak	5.4.2.2.11.5	Taak
Taak	5.4.2.2.16.3	Taak
Taak	5.4.2.2.20.1	Taak
Taak	5.4.2.3.11.6	Taak
Taak	5.4.2.3.16.3	Taak
Taak	5.4.2.3.20.1	Taak
Taak	5.4.2.4.11.6	Taak
Taak	5.4.2.4.16.3	Taak
Taak	5.4.2.4.20.1	Taak
taamu	9.5.6.4.1.9	taamu
taamu	9.5.6.4.18.5	taamu
Taana	6.8.1.2.18.5	Taana
Taana	6.8.1.2.19.3	Taana
Taana	6.8.1.2.2.6	Taana
Taana	6.8.1.2.9.3	Taana
Taana shoots	6.8.1.2.7.2	Taana shoots
taasbant	3.1.2.2.18.8	taasbant
tabahag	5.1.3.3.14.3	tabahag
tabaheg	5.1.3.1.14.6	tabaheg
tabaheg	5.1.3.1.18.9	tabaheg
taberna	1.2.7.4.20.11	taberna
taberna de coyol	1.2.7.3.20.13	taberna de coyol
tabil	3.1.3.2.13.2	tabil
Tabili dates	4.5.3.4.3.14	Tabili dates
table beets	8.1.1.1.2.3	table beets
table beets	8.1.1.5.2.10	table beets
table beets	8.1.2.1.2.8	table beets
table beets	8.1.2.2.2.5	table beets
table beets	8.1.2.3.2.3	table beets
table beets	8.1.2.4.2.12	table beets
table beets	8.1.3.1.2.12	table beets
table beets	8.1.3.2.2.14	table beets
table beets	8.1.3.3.2.14	table beets
table beets	8.1.3.4.2.14	table beets
table beets	8.1.4.1.2.11	table beets
table beets	8.1.4.2.2.12	table beets
table beets	8.1.4.3.2.12	table beets
Table cream	1.4.6.2.11.8	Table cream
Table cream	4.5.4.4.11.5	Table cream
Table cream	7.4.1.1.11.8	Table cream
table grape	4.1.2.1.3.8	table grape
table grape	4.1.2.3.3.11	table grape
table grape	4.1.4.1.3.3	table grape
table grape	4.1.5.1.3.4	table grape
table grape	4.1.5.2.3.9	table grape
table grape	4.1.5.3.3.5	table grape
Table grapes	1.1.2.3.3.29	Table grapes
Table grapes	1.1.2.5.3.23	Table grapes
Table grapes	2.3.4.3.3.2	Table grapes
Table grapes	9.1.2.3.3.4	Table grapes
Table grapes	9.1.3.1.3.2	Table grapes
Table grapes	9.1.3.2.3.2	Table grapes
Table grapes	9.1.3.3.3.2	Table grapes
Table grapes	9.1.4.3.3.2	Table grapes
Table grapes	9.1.5.4.3.3	Table grapes
table grapes	1.1.10.3.18.3	table grapes
table grapes	1.1.10.3.3.12	table grapes
table grapes	1.1.11.3.3.20	table grapes
table grapes	1.1.11.4.3.11	table grapes
table grapes	1.1.8.4.3.4	table grapes
table grapes	1.1.9.4.3.25	table grapes
table grapes	2.3.7.2.3.2	table grapes
table grapes	2.3.7.3.3.7	table grapes
table grapes	2.3.8.1.3.2	table grapes
table grapes	2.6.8.1.3.10	table grapes
table grapes	2.6.9.1.3.9	table grapes
table grapes	2.6.9.2.3.5	table grapes
table grapes	2.7.3.1.3.17	table grapes
table grapes	3.7.1.7.3.2	table grapes
table grapes	3.7.2.4.3.1	table grapes
table grapes	4.1.1.2.3.1	table grapes
table grapes	4.3.5.1.3.3	table grapes
table grapes	4.3.5.3.3.3	table grapes
table grapes	4.3.5.4.3.4	table grapes
table grapes	4.3.5.5.3.15	table grapes
table grapes	9.2.2.1.3.12	table grapes
table myzithra	2.7.2.3.11.7	table myzithra
Table olives	9.1.3.1.14.2	Table olives
Table olives	9.1.3.2.13.7	Table olives
Table olives	9.1.3.3.13.2	Table olives
table olives	3.1.1.2.14.2	table olives
table olives	3.1.1.3.14.4	table olives
table olives	3.1.2.1.14.4	table olives
table olives	3.1.2.2.14.3	table olives
table olives	3.1.3.1.14.4	table olives
table olives	3.1.3.2.14.1	table olives
table olives	3.1.3.2.17.6	table olives
table olives	3.1.3.3.14.1	table olives
table olives	3.1.3.4.14.1	table olives
table olives	3.1.4.1.14.3	table olives
table olives	3.1.4.2.14.1	table olives
table olives	3.1.4.2.17.5	table olives
table olives	3.1.4.3.14.7	table olives
table olives	3.7.2.3.14.1	table olives
table potatoes	3.7.8.1.1.13	table potatoes
table potatoes	3.7.8.2.1.8	table potatoes
Table salt	1.1.13.6.21.4	Table salt
Table salt	1.1.14.6.21.4	Table salt
Table salt	1.2.1.6.21.3	Table salt
Table salt	1.2.2.6.21.3	Table salt
Table salt	1.2.2.7.21.3	Table salt
Table salt	1.2.2.8.21.3	Table salt
Table salt	1.2.2.9.21.3	Table salt
Table salt	1.2.3.5.21.3	Table salt
Table salt	1.2.3.6.21.3	Table salt
Table salt	1.2.4.6.21.3	Table salt
Table salt	3.3.1.1.21.1	Table salt
Table salt	3.6.1.2.21.1	Table salt
Table salt	3.6.1.3.21.1	Table salt
Table salt	3.6.1.4.21.1	Table salt
Table salt	3.6.2.3.21.1	Table salt
Table salt	3.6.2.4.21.1	Table salt
Table salt	3.6.2.5.21.1	Table salt
Table salt	3.6.3.1.21.1	Table salt
Table salt	3.6.3.2.21.1	Table salt
Table salt	3.6.3.3.21.1	Table salt
Table salt	3.6.3.4.21.1	Table salt
Table salt	3.6.4.1.21.1	Table salt
Table salt	3.6.4.2.21.1	Table salt
Table salt	3.6.4.3.21.1	Table salt
Table salt	3.6.4.4.21.1	Table salt
Table salt	3.6.5.1.21.1	Table salt
Table salt	3.6.5.2.21.1	Table salt
Table salt	3.6.5.3.21.1	Table salt
Table salt	5.5.1.3.21.1	Table salt
Table salt	6.5.1.1.21.3	Table salt
Table salt	6.5.1.2.21.3	Table salt
Table salt	6.5.1.3.21.3	Table salt
Table salt	6.5.2.2.21.3	Table salt
Table salt	6.5.2.3.21.3	Table salt
Table salt	6.5.2.4.21.3	Table salt
Table salt	9.3.1.1.21.1	Table salt
Table salt	9.3.1.3.21.1	Table salt
Table salt	9.3.1.4.21.1	Table salt
Table salt	9.3.2.1.21.1	Table salt
Table salt	9.3.2.2.21.1	Table salt
Table salt	9.3.2.3.21.1	Table salt
Table salt	9.3.2.4.21.1	Table salt
Table salt	9.3.4.1.21.2	Table salt
Table salt	9.3.4.2.21.2	Table salt
Table salt	9.3.4.3.21.2	Table salt
Table salt	9.3.5.1.21.2	Table salt
Table salt	9.3.5.2.21.2	Table salt
Table salt	9.3.5.3.21.2	Table salt
Table salt	9.3.5.4.21.1	Table salt
table salt	1.1.14.4.21.1	table salt
table salt	1.1.14.5.21.2	table salt
table salt	1.3.2.1.21.4	table salt
table salt	1.3.2.3.21.5	table salt
table salt	1.3.2.4.21.6	table salt
table salt	2.1.1.1.21.3	table salt
table salt	2.1.1.3.21.3	table salt
table salt	2.1.1.5.21.3	table salt
table salt	2.1.2.2.21.3	table salt
table salt	2.1.2.3.21.3	table salt
table salt	2.3.8.3.21.2	table salt
table salt	2.6.1.3.21.2	table salt
table salt	2.6.9.1.21.2	table salt
table salt	2.8.2.4.21.4	table salt
table salt	2.8.3.1.21.1	table salt
table salt	2.8.3.2.21.1	table salt
table salt	2.8.3.3.21.1	table salt
