1.5.3 Venezuelan	2.2.1.3.24.29	1.5.3 Venezuelan
2.2.6 Valencia / East Coast	2.2.1.3.24.62	2.2.6 Valencia / East Coast
7.1.7 Vietnam North	2.2.1.3.24.264	7.1.7 Vietnam North
7.1.8 Vietnam Central	2.2.1.3.24.265	7.1.8 Vietnam Central
7.1.9 Vietnam South	2.2.1.3.24.266	7.1.9 Vietnam South
7.4.2 Visayas	2.2.1.3.24.278	7.4.2 Visayas
vaca	2.2.2.4.6.5	vaca
vaca galega	2.2.2.2.6.2	vaca galega
Vacherin Fribourgeois AOP	2.5.4.2.11.23	Vacherin Fribourgeois AOP
Vacherin Fribourgeois AOP	2.5.4.2.18.31	Vacherin Fribourgeois AOP
Vacherin fribourgeois AOP	2.5.4.2.11.9	Vacherin fribourgeois AOP
Vacherin fribourgeois AOP	2.5.4.2.18.15	Vacherin fribourgeois AOP
Vacherin Mont-d'Or AOP	2.5.4.2.11.10	Vacherin Mont-d'Or AOP
Vacherin Mont-d'Or AOP	2.5.4.2.18.16	Vacherin Mont-d'Or AOP
Vacío	1.8.1.1.6.2	Empty
Vacío	1.8.1.2.6.2	Empty
Vacío	1.8.2.1.6.2	Empty
Vacío	1.8.2.2.6.2	Empty
Vacoa fruit	3.8.3.1.18.10	Vacoa fruit
Vacoa fruit	3.8.3.3.18.6	Vacoa fruit
Vacoa fruit	3.8.3.3.3.2	Vacoa fruit
Vacoa leaves	3.8.3.3.23.5	Vacoa leaves
Vacoa woven baskets	3.8.3.1.23.4	Vacoa woven baskets
Vacoas	3.8.2.2.6.4	Vacoas
Vacuno	1.8.3.2.6.6	Vacuno
Vacuno	1.8.4.1.6.1	Vacuno
Vacuno	1.8.4.2.6.21	Vacuno
Vacuno	1.8.4.3.6.1	Vacuno
Vacuno	1.8.5.1.6.1	Vacuno
Vacuno	1.8.5.2.6.8	Vacuno
Vacuno	1.8.5.3.6.1	Vacuno
Vacuno	1.8.5.4.6.2	Vacuno
Vacuno	1.8.6.1.6.1	Vacuno
Vacuno	1.8.6.2.6.1	Vacuno
Vacuno	1.8.6.3.6.1	Vacuno
Vacuno	1.8.6.4.6.1	Vacuno
vacuno Avileña-Negra Ibérica	2.2.4.3.6.4	Avileña-Black Iberian beef
vacuno Charolés	2.2.4.3.6.5	Charolais beef
vacuno Limusín	2.2.4.3.6.6	Limousin beef
Vadaham	5.8.1.1.14.10	Vadaham
Vadehavslam	2.9.1.1.18.3	Vadehavslam
Vadiyalu	5.6.5.3.14.11	Vadiyalu
Vadumangai pickle	5.6.2.1.13.13	Vadumangai pickle
Vadumangai pickle	5.6.2.2.13.14	Vadumangai pickle
Vaftra grapes	2.7.2.4.3.17	Vaftra grapes
vai tipolo	9.5.1.2.16.8	vai tipolo
vai tipolo	9.5.1.2.20.5	vai tipolo
Vaina de algarrobo	1.8.3.1.5.3	carob pod
vainica	1.3.6.1.2.36	vainica
vainica	1.3.6.2.2.27	vainica
vainica	1.3.6.4.2.13	vainica
vainica	1.3.6.5.2.8	vainica
Vainilla	1.3.4.5.8.6	Vainilla
Vainilla	1.4.1.2.8.7	Vainilla
Vainilla	1.4.1.3.8.11	Vainilla
Vainilla	1.4.3.4.8.13	Vainilla
Vainilla	1.5.1.1.8.10	Vainilla
Vainilla	1.5.2.2.8.7	Vainilla
Vainilla	1.5.2.3.8.10	Vainilla
Vainilla	1.5.2.4.8.7	Vainilla
Vainilla	1.5.3.1.8.12	Vainilla
Vainilla	1.5.3.4.8.8	Vainilla
vainilla	1.2.3.1.18.4	vainilla
vainilla	1.3.4.4.8.11	vainilla
vainilla	1.3.6.2.8.16	vainilla
vainilla	1.3.6.3.8.8	vainilla
vainilla	1.3.6.4.8.12	vainilla
vainilla	1.3.6.5.8.5	vainilla
vainilla	1.3.7.1.8.10	vainilla
vainilla	1.3.7.2.8.8	vainilla
vainilla	1.3.7.3.8.3	vainilla
vainilla	1.6.1.1.8.12	vainilla
vainilla	1.6.1.2.8.10	vainilla
vajcia	2.5.6.1.6.26	vajcia
vajcia	2.5.6.2.6.31	vajcia
vajcia	2.5.6.3.6.19	vajcia
Vakfıkebir Ekmeği	4.1.4.3.1.15	Vakfıkebir Bread
Vakfıkebir Ekmeği	4.1.4.3.18.7	Vakfıkebir Bread
Vakfıkebir Külek Peyniri	4.1.4.3.11.6	Vakfıkebir Kulek Cheese
Vakfıkebir Külek Peyniri	4.1.4.3.14.12	Vakfıkebir Kulek Cheese
Vakfıkebir Külek Peyniri	4.1.4.3.18.8	Vakfıkebir Kulek Cheese
Vakharman melon	8.1.5.1.18.1	Vakharman melon
Vakharman melon	8.1.5.1.3.12	Vakharman melon
Vakharman melon	8.1.5.2.18.1	Vakharman melon
Vakharman melon	8.1.5.2.3.3	Vakharman melon
Vakharman melon	8.1.5.3.18.4	Vakharman melon
Vakharman melon	8.1.5.3.3.3	Vakharman melon
Vakwerk blond beer	2.3.8.3.20.6	Vakwerk blond beer
Val Tidone IGP	2.4.3.4.20.5	Val Tidone IGP
valak	4.6.2.1.2.15	valak
valak	4.6.2.1.7.10	valak
Valangur	9.3.1.1.7.7	Valangur
Valangur	9.3.1.3.19.7	Valangur
Valangur	9.3.1.3.7.8	Valangur
Valašský frgál	2.5.5.2.18.4	Wallachian frgal
Valchi bhaji	5.4.3.1.2.31	Valchi bhaji
Valchi bhaji leaves	5.4.3.1.7.6	Valchi bhaji leaves
Valdeorras branco	2.2.2.2.20.4	Valdeorras branco
Vale of Evesham Asparagus	2.1.1.2.18.2	Vale of Evesham Asparagus
Vale of Evesham Asparagus	2.1.1.2.2.1	Vale of Evesham Asparagus
Valençay	2.3.2.2.11.10	Valencay
Valençay AOP	2.3.2.2.18.5	Valençay AOP
Valençay blanc	2.3.2.2.16.10	White Valençay
Valençay blanc	2.3.2.2.20.10	White Valençay
Valencia orange	3.2.1.1.3.16	Valencia orange
Valencia orange	3.2.1.2.3.3	Valencia orange
Valencia orange	4.3.1.4.3.4	Valencia orange
Valencia orange	4.3.1.5.3.4	Valencia orange
Valencia orange	4.3.2.3.3.4	Valencia orange
Valencia orange	4.3.5.2.3.3	Valencia orange
Valencia orange	9.1.2.1.3.3	Valencia orange
Valencia orange	9.2.1.2.3.9	Valencia orange
valencia orange	4.3.1.1.3.6	valencia orange
Valencia oranges	1.1.10.4.3.8	Valencia oranges
Valencia oranges	1.1.10.5.3.11	Valencia oranges
Valencia oranges	1.1.8.1.3.5	Valencia oranges
Valencia oranges	1.1.9.2.3.6	Valencia oranges
Valencia oranges	3.7.1.2.3.2	Valencia oranges
Valencia oranges	6.5.3.2.3.8	Valencia oranges
Valencia oranges	9.1.3.2.3.13	Valencia oranges
Valentino green bean	3.2.1.1.2.17	Valentino green bean
Valerian	6.8.1.1.19.12	Valerian
Valerian	6.8.1.3.19.2	Valerian
valerian	8.1.2.4.19.7	valerian
Valerian root	6.8.1.1.8.7	Valerian root
Valerian root	6.8.1.4.19.6	Valerian root
valerian root	8.1.2.1.19.8	valerian root
valerian root	8.1.2.3.19.9	valerian root
