1.3.2 Belize	2.2.1.3.24.12
1.6.4 Bolivian Highlands	2.2.1.3.24.36
1.6.5 Bolivian Lowlands	2.2.1.3.24.37
1.7 Brazil	2.2.1.3.24.38
1.7.3 Bahia	2.2.1.3.24.41
2.1 British Isles	2.2.1.3.24.52
2.2.8 Balearic Islands	2.2.1.3.24.64
2.3.7 Belgium	2.2.1.3.24.71
2.6 Balkans / Adriatic	2.2.1.3.24.88
2.6.4 Bosnia and Herzegovina	2.2.1.3.24.92
2.8.3 Belarus	2.2.1.3.24.105
2.8.5 Bulgaria	2.2.1.3.24.107
3.6.5 Burundi	2.2.1.3.24.152
3.7.3 Botswana	2.2.1.3.24.156
4.1.4 Black Sea Turkey	2.2.1.3.24.172
5.1.3 Baloch Belt	2.2.1.3.24.203
5.5.3 Bihar	2.2.1.3.24.216
5.7.2 Bhutan	2.2.1.3.24.224
7.2.3 Brunei	2.2.1.3.24.269
Baaduu	3.3.1.3.11.6
Baanh chunga	5.5.5.1.23.3
Baanhor dhuwa	5.5.5.1.24.6
Baans Bhamori mushroom	5.4.5.2.2.28
Baans gaj	5.5.5.1.2.20
Baans Karil mushroom	5.4.5.2.2.33
Baans ki chatai	5.5.4.1.23.5
Baans ki chhalni	5.5.4.1.23.6
Baans ki tokri	5.5.3.4.23.3
Baans ki tokri	5.5.4.1.23.4
Baans ki tokri	5.5.4.2.23.4
Baans ki tokri	5.5.4.3.23.3
Baans kope	5.5.3.4.18.5
Baans kope	5.5.3.4.2.3
Baans kope	5.5.4.1.2.11
Baans kope	5.5.4.2.18.5
Baans kope	5.5.4.2.2.17
Baans kope	5.5.4.3.18.8
Baans kope	5.5.4.3.2.14
Baans kope ka achar	5.5.3.4.13.10
Baans kope ka achar	5.5.3.4.14.7
Baans kope ka achar	5.5.4.2.13.7
Baans kope ka achar	5.5.4.2.14.9
Baans kope ka achar	5.5.4.3.13.8
Baans kope ka achar	5.5.4.3.14.4
Baba figue	3.8.3.1.18.5
Baba figue	3.8.3.1.2.16
Baba figue	3.8.3.3.18.7
Baba figue	3.8.3.3.2.8
baba ghanoush	4.3.3.1.13.5
baba ghanoush	4.3.3.2.13.3
baba ghanoush	4.3.4.1.13.5
baba ghanoush	4.3.4.2.13.4
baba ghanoush	4.3.4.4.13.4
Babaco	1.5.4.1.3.9
Babaco	1.5.4.2.12.7
Babaco	1.5.4.2.3.8
Babaco	1.5.4.3.3.2
babaco	9.2.2.2.18.6
babaco	9.2.2.2.3.50
babagarei	6.7.1.1.6.19
babai	9.4.4.1.18.1
babassu almond, babassu almond, amêndoa de babaçu	1.7.2.4.5.1
babassu coconut, babassu coconut, coco de babaçu	1.7.6.2.3.4
babassu leaf, babassu leaf, folha de babaçu	1.7.6.3.23.3
babassu mesocarp flour, babassu mesocarp flour, farinha de mesocarpo de babaçu	1.7.2.4.1.12
babassu mesocarp flour, babassu mesocarp flour, farinha de mesocarpo de babaçu	1.7.2.4.22.5
babassu mesocarp, babassu mesocarp, mesocarpo de babaçu	1.7.2.4.18.5
babassu mesocarp, babassu mesocarp, mesocarpo de babaçu	1.7.2.4.19.2
babassu milk, babassu milk, leite de babaçu	1.7.2.4.11.4
babassu milk, babassu milk, leite de babaçu	1.7.2.4.16.5
babassu milk, babassu milk, leite de babaçu	1.7.6.2.16.5
babassu nut, babassu nut, castanha de babaçu	1.7.6.3.5.4
babassu oil, babassu oil, azeite de babaçu	1.7.2.4.10.1
babassu oil, babassu oil, óleo de babaçu	1.7.2.4.10.2
babassu oil, babassu oil, óleo de babaçu	1.7.2.4.19.1
babassu palm, babassu palm, palmito de babaçu	1.7.6.3.1.14
babassu, babassu, babaçu	1.7.2.4.18.4
babenda greens	3.4.7.3.18.1
Babic from Buzau, Babic from Buzau, Babic de Buzău	2.8.4.2.14.12
Babic from Buzau, Babic from Buzau, Babic de Buzău	2.8.4.2.6.27
babka ziemniaczana	2.8.1.5.18.4
babosa	1.7.1.3.19.1
babosa	1.7.2.1.19.7
babosa	1.7.2.2.19.5
babu leaves	3.7.3.3.2.3
babu seeds	3.7.3.3.5.4
Babugosha	5.3.3.1.18.6
Babugosha	5.3.3.1.3.29
baby aubergine spoon sweet	2.7.3.1.14.15
baby aubergines	2.7.3.1.2.20
baby bluefish	2.8.5.4.6.6
baby bok choy	6.4.1.1.2.10
baby boy, baby boy, libeček	2.5.5.1.7.6
baby boy, baby boy, libeček	2.5.5.2.7.6
Baby brinjal	5.4.1.4.2.9
Baby brinjal	5.4.2.2.2.8
Baby brinjal	5.4.2.3.2.5
Baby brinjal	5.4.2.4.2.8
Baby brinjal	5.4.3.2.2.2
Baby brinjal	5.4.3.3.2.2
Baby brinjal	5.4.4.1.2.10
Baby brinjal	5.4.4.2.2.9
Baby brinjal	5.4.4.3.2.7
Baby brinjal	5.4.4.4.2.8
Baby brinjal	5.4.5.1.2.7
Baby brinjal	5.4.5.2.2.4
Baby brinjal	5.4.5.3.2.8
Baby brinjal	5.6.5.1.2.1
Baby brinjal	5.6.5.2.2.6
Baby brinjal	5.6.5.3.2.5
Baby broad beans	2.3.6.2.2.14
Baby broad beans	2.3.6.2.4.5
baby cabbage	6.4.1.4.2.7
baby clams	7.1.8.2.18.6
baby clams	7.1.8.2.6.16
baby clams	7.1.8.4.6.9
Baby corn	6.5.1.1.2.5
baby corn	1.1.7.4.2.13
baby crab	7.1.6.5.6.4
baby eggplant	4.3.1.1.2.8
baby eggplant	4.3.2.5.2.6
Baby endive leaves	2.3.1.3.2.4
Baby ginger	1.1.1.2.18.9
Baby ginger	1.1.1.2.19.7
baby greens	9.2.2.3.17.2
baby greens	9.2.2.3.7.7
baby greens	9.2.2.4.7.5
baby leek	9.2.2.2.2.21
baby leek	9.2.2.2.9.5
baby lettuce	1.1.12.1.2.1
baby lettuce	1.1.12.2.2.1
baby lettuce	1.1.12.3.2.9
baby lettuce	1.1.12.4.2.1
Baby lima beans	1.1.2.4.4.2
Baby lima beans	1.1.5.1.4.10
Baby lima beans	1.1.5.2.4.8
Baby lima beans	1.1.5.3.4.6
Baby lima beans	1.1.5.4.4.6
baby marrow	3.7.2.3.2.8
baby marrow	3.7.8.2.2.1
baby octopus	6.3.3.2.6.13
baby pak choy	7.2.1.3.2.3
Baby shrimp	5.8.1.1.6.4
baby spinach	1.1.12.1.2.5
baby spinach	1.1.12.2.2.5
baby spinach	3.7.1.1.2.22
baby spinach	9.2.3.4.2.4
Baby's, Baby's, Bébélé	1.4.9.3.18.6
Baby, Baby, Pèbè	3.5.1.1.8.6
Baby, Baby, Pèbè	3.5.1.2.8.2
Baby, Baby, Pèbè	3.5.5.1.8.3
bacaba	1.7.1.1.3.4
bacaba	1.7.1.2.3.9
bacaba	1.7.1.4.18.4
bacaba	1.7.1.4.3.2
bacaba batida	1.7.1.4.20.2
Bacalao	1.4.2.1.6.9
Bacalao	1.4.2.3.6.8
bacalao	1.3.6.3.6.22
bacalao	2.2.3.1.6.4
bacalao	2.2.3.2.6.1
bacalao	2.2.3.4.6.14
bacalao	2.2.4.1.6.26
bacalao desalado	2.2.4.2.6.23
bacalao desalado	2.2.4.3.6.27
Bacalao desmenuzado	1.4.2.1.18.6
Bacalao salado	1.4.2.1.14.1
Bacalao salado	1.4.2.2.14.2
Bacalao salado	1.4.2.2.6.13
Bacalao salado	1.4.2.3.14.1
Bacalao salado	1.4.2.4.14.1
Bacalao salado	1.4.2.4.6.15
Bacalao salado	1.4.2.5.14.1
Bacalao salado	1.4.2.5.6.7
Bacalao salado	1.4.3.1.14.3
Bacalao salado	1.4.3.1.6.10
Bacalao salado	1.4.3.2.14.1
Bacalao salado	1.4.3.2.6.7
