1.4.3 Dominican	2.2.1.3.24.19
1.4.8 Dutch Caribbean	2.2.1.3.24.24
2.9.1 Denmark	2.2.1.3.24.111
3.3.4 Djibouti	2.2.1.3.24.133
3.5.4 Democratic Republic of the Congo	2.2.1.3.24.145
5.3.3 Delhi / Upper Gangetic Plain	2.2.1.3.24.210
6.1.3 Dongbei / Northeast China	2.2.1.3.24.231
D-tilo	1.3.5.2.19.3
D.O. Saimaa honey	2.9.4.2.18.6
Da Hao fish balls	6.3.1.3.18.2
Da Ying duck, Da Ying duck, Da Ying duck	6.2.2.2.6.9
da'ok oil	9.4.1.1.19.13
da'ok oil	9.4.1.2.19.13
Daadhii	3.3.1.3.20.7
daal powder	7.1.1.1.18.4
dab	2.3.8.4.6.12
Daba yizhi fruit	6.3.1.4.18.5
dabai	7.2.4.2.3.1
dabai paste	7.2.4.2.18.5
Dabancheng cold-water rainbow trout	6.4.4.3.18.10
Dabancheng cold-water rainbow trout	6.4.4.3.6.13
Dabancheng Kazakh fat-tailed sheep	6.4.4.3.18.11
Dabancheng Kazakh fat-tailed sheep	6.4.4.3.6.3
Dabancheng snow chrysanthemum	6.4.4.3.18.9
Dabancheng snow chrysanthemum	6.4.4.3.19.1
Dabbas dates	4.5.6.2.3.2
Dabeli masala	5.4.1.2.13.5
Dabeli masala	5.4.1.2.18.3
Dabinett apples	2.1.1.4.3.2
dabu-dabu	7.3.5.2.13.1
dabu-dabu	7.3.5.2.17.5
dabu-dabu	7.3.7.1.13.2
dabu-dabu	7.3.7.1.17.7
dabu-dabu iris	7.3.5.2.13.2
Dabuledu	1.3.4.2.14.8
Dabuledu	1.3.4.2.18.8
dace	6.3.1.1.6.23
dace	8.2.1.1.6.14
Dachine	1.4.7.3.1.8
Dachine	1.4.9.1.1.9
Dachine	1.4.9.2.1.10
Dachine	1.4.9.3.1.10
Dacke wheat	2.9.1.2.1.5
Dadacha mame	6.7.2.2.18.1
Dadacha mame	6.7.2.2.4.4
daddawa	3.4.6.5.13.1
daddawa	3.4.6.5.14.1
daddawa	3.4.6.5.18.9
daddawa	3.4.6.6.13.1
daddawa	3.4.6.6.14.1
daddawa	3.4.6.6.18.7
daddawa paste	3.4.6.5.13.2
daddawa paste	3.4.6.6.13.2
Dae-bu grapes	6.6.2.1.3.9
Daejeong garlic	6.6.3.2.18.1
Daejeong garlic	6.6.3.2.2.10
Daejeong garlic	6.6.3.2.9.1
Dafni grapes	2.7.2.5.3.10
Dafni wine	2.7.2.5.20.7
Dagaa	3.6.2.5.6.12
daggertooth blade conger	7.1.1.4.6.1
Daggus	4.5.1.3.13.1
Daggus sauce	4.5.1.1.13.3
Dago sea buckthorn	2.9.6.3.18.6
dahaar tamarind sauce	3.4.1.4.13.11
Dahi	5.3.2.1.11.3
Dahi	5.3.2.3.11.5
Dahi	5.3.3.1.11.5
Dahi	5.3.3.2.11.4
Dahi	5.3.3.3.11.5
Dahi	5.3.3.4.11.5
Dahi	5.3.5.2.11.5
Dahi	5.5.2.1.11.2
Dahi	5.5.2.1.12.6
Dahi	5.5.2.1.16.5
Dahi	5.5.2.2.11.2
Dahi	5.5.2.2.12.5
Dahi	5.5.2.2.16.4
Dahi	5.5.2.3.11.2
Dahi	5.5.2.3.12.4
Dahi	5.5.2.3.16.6
Dahi	5.5.3.1.11.2
Dahi	5.5.3.1.12.4
Dahi	5.5.3.2.11.2
Dahi	5.5.3.2.12.4
Dahi	5.5.3.3.11.2
Dahi	5.5.3.3.12.7
Dahi	5.5.3.3.14.10
Dahi	5.5.3.4.11.4
Dahi	5.5.3.4.12.4
Dahi	5.5.3.4.14.4
Dahi	5.5.4.1.11.2
Dahi	5.5.4.1.12.3
Dahi	5.5.4.2.11.2
Dahi	5.5.4.2.12.4
Dahi	5.5.4.3.11.2
Dahi	5.5.4.3.12.3
Dahi	5.7.3.2.11.3
Dahi	5.7.3.2.12.1
dahi	5.2.1.1.11.3
dahi	5.2.1.2.11.2
dahi	5.2.1.2.14.1
dahi	5.2.1.3.11.4
dahi	5.2.1.3.14.1
dahi	5.2.1.4.11.3
dahi	5.2.1.4.14.1
dahi	5.2.2.1.11.3
dahi	5.2.2.1.14.1
dahi	5.2.2.2.11.3
dahi	5.2.2.2.14.1
dahi	5.2.2.3.11.3
dahi	5.2.2.3.14.1
dahi	5.2.2.4.11.4
dahi	5.2.2.4.14.7
dahi	5.2.3.1.11.3
dahi	5.2.3.1.14.1
dahi	5.2.3.2.11.3
dahi	5.2.3.2.14.1
dahi	5.2.3.3.11.4
dahi	5.2.3.3.14.1
dahi	5.2.3.4.11.4
dahi	5.2.4.1.11.5
dahi	5.2.4.1.14.1
dahi	5.2.4.2.11.3
dahi	5.2.4.2.14.3
dahi	5.2.4.2.19.6
dahi	5.2.4.3.11.5
dahi	5.2.4.3.14.1
dahi	5.2.4.4.11.4
dahi	5.2.4.4.14.2
Dahi culture	5.5.2.1.22.3
Dahi culture	5.5.2.2.22.3
Dahi culture	5.5.2.3.22.2
Dahi ka jaman	5.5.3.1.22.4
Dahi ka jaman	5.5.3.2.22.3
Dahi ka jaman	5.5.3.3.22.1
Dahi ka jaman	5.5.3.4.22.3
Dahi ka jaman	5.5.4.1.22.2
Dahi ka jaman	5.5.4.2.22.3
Dahi ka jaman	5.5.4.3.22.2
dahi raita	5.2.1.2.13.7
Dahongpao loquat	6.2.4.1.3.2
Daikon	1.1.5.1.2.12
Daikon	4.5.4.4.2.14
daikon	1.1.12.1.2.31
daikon	1.1.12.2.2.28
daikon	1.1.12.4.2.22
daikon	7.2.2.2.2.7
daikon	9.2.3.2.2.19
daikon	9.4.2.2.2.6
daikon Nara-zuke	6.7.4.4.14.4
Daikon radish	6.5.1.1.2.8
Daikon radish	6.5.1.3.2.5
Daikon radish	6.5.2.2.2.12
Daikon radish	6.5.2.4.2.5
Daikon radish	6.5.3.3.2.2
daikon radish	1.1.6.4.2.14
daikon radish	6.7.1.1.2.17
daikon radish	6.7.1.2.2.5
daikon radish	6.7.1.3.2.15
daikon radish	6.7.1.3.9.6
daikon radish	6.7.2.1.2.7
daikon radish	6.7.2.1.9.9
daikon radish	6.7.2.3.2.10
daikon radish	6.7.2.3.9.6
daikon radish	6.7.3.2.2.14
daikon radish	6.7.3.3.2.1
daikon radish	6.7.3.3.9.3
daikon radish	6.7.4.4.2.5
daikon radish	6.7.4.4.9.3
daikon radish	6.7.5.3.2.18
daikon radish	6.7.6.2.2.16
daikon radish	6.7.6.2.9.4
daikon radish	6.7.6.3.2.33
daikon radish	6.7.6.3.9.9
daikon radish	6.7.7.3.2.8
daikon radish	9.2.3.3.2.18
daikon radish	9.4.1.1.2.22
daikon radish	9.4.1.2.2.22
daikon radish	9.4.1.3.2.22
Daimasaki	6.7.6.4.18.20
Daimasaki	6.7.6.4.3.3
Daimasaki juice	6.7.6.4.12.7
Daimon somen	6.7.5.1.1.13
Daing	7.4.1.1.14.12
Daing	7.4.1.2.14.7
Daing	7.4.1.4.14.5
Daiquiri, Daiquiri, Daiquirí	1.4.1.2.20.8
Dairy beverage, Dairy beverage, bebida láctea	1.7.6.4.11.19
dairy bread	8.1.5.4.1.13
dairy culture, dairy culture, mlékařské kultury	2.5.5.1.22.10
dairy culture, dairy culture, mlékařské kultury	2.5.5.2.22.10
dairy cultures, dairy cultures, mliekarenské kultúry	2.5.6.1.22.10
dairy cultures, dairy cultures, mliekarenské kultúry	2.5.6.2.22.10
dairy cultures, dairy cultures, mliekarenské kultúry	2.5.6.3.22.10
dairy ferments, dairy ferments, fermentos lácteos	2.2.2.4.22.3
dairy ferments, dairy ferments, fermentos lácteos	2.2.3.3.22.3
dairy ferments, dairy ferments, fermentos lácteos	2.2.4.3.22.3
Daishan peanuts	6.2.1.2.5.4
Dajr beans	4.5.4.3.4.1
Dajr soup	4.5.4.3.18.5
Dak Lak pepper, Dak Lak pepper, Đắk Lắk pepper	7.1.8.3.8.1
Dakekimi corn	6.7.2.1.18.9
Dakki dates	5.2.4.2.18.17
dakos rusks	2.7.2.5.1.14
dakos rusks	2.7.2.5.18.1
Dakwa	3.2.2.5.13.1
Dakwa	3.2.2.5.18.8
Dal pitha	5.5.3.2.18.6
dalama	4.6.1.1.11.12
Dalaost	2.9.3.2.11.7
Dalaost	2.9.3.2.18.6
Dalchini	5.5.2.1.8.13
Dalchini	5.5.2.2.8.13
Dalchini	5.5.3.2.8.13
Dalchini	5.5.3.4.8.14
Dalchini	5.5.5.1.8.13
Dalda	5.5.1.1.10.6
Dalda	5.5.3.3.10.4
Daler bori	5.5.1.1.14.1
Daler bori	5.5.1.2.14.1
dalgan	8.2.2.2.1.11
dalgan	8.2.2.2.18.2
dali ni horbo	7.3.1.2.11.2
Dalia	5.5.1.1.1.15
Dalian sweet cherry	6.1.3.1.18.4
Dalian sweet cherry	6.1.3.1.3.1
Dalim	5.5.2.3.3.14
Dall sheep	1.1.13.5.6.24
Dalle achar	5.5.1.3.17.5
Dalle khursani	5.5.1.3.8.5
Dalle khursani	5.7.3.2.18.1
Dalle khursani	5.7.3.2.2.23
Dalle khursani	5.7.3.2.8.6
Dalle khursani paste	5.7.3.2.13.1
Dalle ko achar	5.5.1.3.13.7
Dalmatian prosciutto	2.6.2.3.14.1
Dalmatian prosciutto	2.6.2.3.18.6
Dalmatian prosciutto	2.6.2.3.6.10
Dalmatinka	2.6.2.3.20.6
