//Eat- //Sing, //Eat- //Sing, //Khao- //Gan	3.7.2.4.14.6
1.1.13 English-speaking Canada	1.1.12.5.24.3
1.5.4 Ecuadorian Highlands	2.2.1.3.24.30
1.5.5 Ecuadorian Coast	2.2.1.3.24.31
2. Europe	2.2.1.3.24.51
2.1.1 England	2.2.1.3.24.53
2.8 Eastern Europe	2.2.1.3.24.102
2.9.6 Estonia	2.2.1.3.24.116
3.2.1 Egypt	2.2.1.3.24.126
3.3.1 Ethiopia	2.2.1.3.24.130
3.3.2 Eritrea	2.2.1.3.24.131
3.6 East Africa / Great Lakes	2.2.1.3.24.147
4.5.3 Eastern Arabia / Gulf Coast	2.2.1.3.24.189
4.6.5 Eastern Iran / Khorasan	2.2.1.3.24.198
5.5 East India	2.2.1.3.24.215
6. East Asia	2.2.1.3.24.228
8.2.3 Eastern Siberia	2.2.1.3.24.293
e-fu noodles	6.3.1.1.1.11
Earl Grey tea	2.1.1.1.16.12
Earl Grey tea	2.1.1.1.20.1
early crossroads, early crossroads, creïlla primerenca	2.2.6.1.1.15
early indica rice	6.2.3.3.1.2
early millet	3.4.1.4.1.7
early onions	6.7.6.2.2.14
early onions	6.7.6.2.9.2
Early potatoes	2.9.4.1.1.14
early potatoes, early potatoes, rané brambory	2.5.5.1.1.2
early potatoes, early potatoes, rané brambory	2.5.5.2.1.2
early potatoes, early potatoes, skoré zemiaky	2.5.6.1.1.2
early potatoes, early potatoes, skoré zemiaky	2.5.6.2.1.2
early potatoes, early potatoes, skoré zemiaky	2.5.6.3.1.2
Early Radicchio Rosso di Treviso PGI, Early Radicchio Rosso di Treviso PGI, Radicchio Rosso di Treviso IGP precoce	2.4.2.1.2.5
early rice	6.7.6.5.1.6
early yam	9.5.2.3.1.4
early yam	9.5.2.4.1.6
early-harvest olive oil	2.7.1.1.10.3
early-ripening grapes	2.8.2.3.3.2
Earth oven	9.1.1.3.23.7
Earth oven	9.1.1.4.23.5
Earth oven	9.1.1.5.23.6
Earth oven	9.1.4.1.23.5
Earth oven	9.1.5.3.23.3
earth oven	3.1.1.4.23.3
Earth oven ash	9.1.1.3.24.6
earth oven heat	9.4.3.4.24.1
earth oven heat	9.4.4.1.24.5
earth oven heat	9.4.4.3.24.5
earth oven, earth oven, horno de tierra	1.2.3.1.24.3
earth oven, earth oven, horno de tierra	1.2.5.2.24.4
earth-oven heat	9.4.4.1.24.7
earth-oven heat	9.4.4.2.24.4
earth-oven heat	9.4.5.1.24.5
earth-oven heat	9.4.5.2.24.3
earth-oven heat	9.4.5.3.24.5
earth-oven smoke	9.4.2.3.24.2
Earthen fermentation jar	5.7.1.2.23.4
Earthen fermentation jar	5.7.1.4.23.3
Earthen fermentation jar	5.7.2.1.23.5
Earthen fermentation jar	5.7.2.3.23.5
Earthen fermentation jar	5.7.2.4.23.3
Earthen fermentation jar	5.7.3.4.23.5
Earthen handi	5.3.5.3.23.6
Earthen handi	5.5.1.1.23.3
Earthen handi	5.5.1.2.23.4
Earthen matka	5.3.2.1.23.4
Earthen matka	5.3.2.2.23.5
Earthen matka	5.3.2.3.23.5
Earthen matka	5.3.3.1.23.5
Earthen matka	5.3.3.2.23.4
Earthen matka	5.3.3.3.23.5
Earthen matka	5.3.3.4.23.4
Earthen matka	5.3.4.1.23.4
Earthen matka	5.3.4.2.23.4
Earthen matka	5.3.4.3.23.4
Earthen matka	5.3.4.4.23.4
Earthen matlu	5.4.1.4.23.3
Earthen pot	5.3.1.3.23.5
Earthen pot	5.3.1.4.23.4
Earthen pot	5.4.1.2.23.4
Earthen pot	5.4.1.3.23.5
Earthen pot	5.4.2.2.23.5
Earthen pot	5.4.2.3.23.4
Earthen pot	5.4.2.4.23.4
Earthen pot	5.4.4.1.23.4
Earthen pot	5.4.4.2.23.4
Earthen pot	5.4.4.3.23.3
Earthen pot	5.4.5.1.23.4
Earthen pot	5.4.5.3.23.5
Earthen pot	5.5.1.3.23.6
Earthen pot	5.5.2.4.23.4
Earthen pot	5.5.5.2.23.4
Earthen pot	5.5.5.3.23.4
Earthen pot	5.5.5.4.23.8
Earthen pot	5.5.5.5.23.7
Earthen pot	5.5.5.6.23.4
Earthen pot	5.6.2.1.23.4
Earthen pot	5.6.2.2.23.4
Earthen pot	5.6.2.3.23.4
Earthen pot	5.6.2.4.23.4
Earthen pot	5.6.2.5.23.4
Earthen pot	5.6.3.1.23.6
Earthen pot	5.6.3.2.23.5
