1.4.9 French Caribbean	2.2.1.3.24.25
2.3 France and Low Countries	2.2.1.3.24.65
2.9.4 Finland	2.2.1.3.24.114
9.3.2 Fiji	2.2.1.3.24.307
Faarsoo	3.3.1.3.20.4
Faba bean	3.3.1.1.4.1
Faba bean	3.3.1.3.4.2
Faba bean	3.3.1.4.4.5
Faba bean	3.3.2.1.4.2
Faba bean	3.3.2.3.4.4
Faba beans	9.1.2.2.4.4
Faba beans	9.1.2.3.4.2
faba beans	1.1.13.3.4.10
faba branca	2.2.2.2.4.3
fabas	2.2.2.1.4.1
fabas	2.2.2.2.4.2
fabes	2.2.2.3.4.2
Fabriano salami, Fabriano salami, Salame di Fabriano	2.4.3.3.18.9
Fabriano salami, Fabriano salami, salame di Fabriano	2.4.3.3.14.4
Fabriano salami, Fabriano salami, salame di Fabriano	2.4.3.3.6.19
fabric arepa, fabric arepa, Arepa de tela	1.5.1.2.18.3
face, face, cará	1.7.1.3.1.16
face, face, cará	1.7.6.4.1.14
facing São Paulo, facing São Paulo, virado à paulista	1.7.4.2.18.3
fagiolana from Val Borbera in the forties, fagiolana from Val Borbera in the forties, fagiolana della Val Borbera quarantina	2.4.1.1.4.11
fagioli bianchi	2.4.2.1.4.9
fagioli bianchi	2.4.2.2.4.5
fagioli bianchi	2.4.2.3.4.4
fagioli bianchi	2.4.2.4.4.4
fagioli bianchi	2.4.3.2.4.9
fagioli bianchi	2.4.3.3.4.10
fagioli bianchi	2.4.3.4.4.3
fagioli bianchi	2.4.4.1.4.5
fagioli bianchi	2.4.4.2.4.10
fagioli bianchi	2.4.4.3.4.4
fagioli bianchi	2.4.5.4.4.6
fagioli bianchi	2.4.6.1.4.7
fagioli bianchi	2.4.6.2.4.6
fagioli bianchi	2.4.6.3.4.6
fagioli bianchi	2.4.7.1.4.6
fagioli bianchi	2.4.7.2.4.6
fagioli bianchi	2.4.7.3.4.6
fagioli bianchi	2.4.7.4.4.6
fagioli bianchi	2.5.4.3.4.3
fagioli borlotti	2.4.1.4.4.5
fagioli borlotti	2.4.2.1.4.8
fagioli borlotti	2.4.2.2.4.4
fagioli borlotti	2.4.2.3.4.3
fagioli borlotti	2.4.2.4.4.2
fagioli borlotti	2.4.3.2.4.8
fagioli borlotti	2.4.3.3.4.8
fagioli borlotti	2.4.3.4.4.1
fagioli borlotti	2.4.4.1.4.4
fagioli borlotti	2.4.4.3.4.5
fagioli borlotti	2.4.5.4.4.5
fagioli borlotti	2.4.6.1.4.9
fagioli borlotti	2.4.6.2.4.8
fagioli borlotti	2.4.6.3.4.8
fagioli borlotti	2.4.7.1.4.8
fagioli borlotti	2.4.7.2.4.8
fagioli borlotti	2.4.7.3.4.8
fagioli borlotti	2.4.7.4.4.8
fagioli borlotti	2.5.4.3.4.1
fagioli cannellini	2.4.1.2.4.9
fagioli cannellini	2.4.2.4.4.3
fagioli cannellini	2.4.3.2.4.7
fagioli cannellini	2.4.3.3.4.9
fagioli cannellini	2.4.3.4.4.2
fagioli cannellini	2.4.4.1.4.3
fagioli cannellini	2.4.4.2.4.9
fagioli cannellini	2.4.4.3.4.3
fagioli cannellini	2.4.5.4.4.7
fagioli cannellini	2.4.6.1.4.8
fagioli cannellini	2.4.6.2.4.7
fagioli cannellini	2.4.6.3.4.7
fagioli cannellini	2.4.7.1.4.7
fagioli cannellini	2.4.7.2.4.7
fagioli cannellini	2.4.7.3.4.7
fagioli cannellini	2.4.7.4.4.7
fagioli cannellini	2.5.4.3.4.2
fagioli secchi	2.4.2.3.4.5
fagioli secchi	2.5.4.3.4.4
fagiolini	2.4.3.4.2.23
fagiolini	2.5.4.3.2.19
fagiolo bianco	2.4.5.1.4.10
fagiolo borlotto	2.4.3.1.4.6
fagiolo borlotto	2.4.5.1.4.9
fagiolo borlotto	2.4.5.3.4.10
fagiolo cannellino	2.4.3.1.4.4
fagiolo cannellino	2.4.5.1.4.8
