2.1.4 Ireland	2.2.1.3.24.56	2.1.4 Ireland
2.2 Iberia	2.2.1.3.24.57	2.2 Iberia
2.4 Italy	2.2.1.3.24.74	2.4 Italy
2.9.5 Iceland	2.2.1.3.24.115	2.9.5 Iceland
3.8 Indian Ocean Africa	2.2.1.3.24.161	3.8 Indian Ocean Africa
4.3.5 Israel	2.2.1.3.24.182	4.3.5 Israel
4.4.1 Iraq North	2.2.1.3.24.184	4.4.1 Iraq North
4.4.2 Iraq Central	2.2.1.3.24.185	4.4.2 Iraq Central
4.4.3 Iraq South	2.2.1.3.24.186	4.4.3 Iraq South
4.6 Iran / Persian Sphere	2.2.1.3.24.193	4.6 Iran / Persian Sphere
5.8 Island South Asia	2.2.1.3.24.226	5.8 Island South Asia
6.1.4 Inner North / wheat belt	2.2.1.3.24.232	6.1.4 Inner North / wheat belt
6.5.3 Indigenous Taiwan	2.2.1.3.24.246	6.5.3 Indigenous Taiwan
6.8.2 Inner Mongolian foodways	2.2.1.3.24.255	6.8.2 Inner Mongolian foodways
7.3 Indonesia	2.2.1.3.24.271	7.3 Indonesia
9.1.1 Indigenous Australian foodways	2.2.1.3.24.297	9.1.1 Indigenous Australian foodways
I'itoi onions	1.1.9.4.18.6	I'itoi onions
I'itoi onions	1.1.9.4.2.17	I'itoi onions
I'itoi onions	1.1.9.4.9.4	I'itoi onions
iaghi	4.2.1.4.10.3	iaghi
iamaii	9.4.5.1.2.11	iamaii
iamaii leaves	9.4.5.1.7.4	iamaii leaves
iaroo	9.4.5.1.2.12	iaroo
iaroo leaves	9.4.5.1.7.5	iaroo leaves
Ibănești telemea	2.8.4.3.11.10	Ibanest telemea
Ibănești telemea in brine	2.8.4.3.14.7	Ibanest telemea in brine
Ibaraki sake	6.7.3.2.20.6	Ibaraki sake
Ibarakiss strawberries	6.7.3.2.12.5	Ibarakiss strawberries
Ibarakiss strawberries	6.7.3.2.3.5	Ibarakiss strawberries
Ibarra	2.2.3.2.3.16	Ibarra
ibes	1.2.6.1.18.4	ibes
ibes	1.2.6.1.4.3	ibes
ibes	1.2.6.2.18.3	ibes
ibes	1.2.6.2.4.4	ibes
ibes	1.2.6.3.18.3	ibes
ibes	1.2.6.3.4.5	ibes
Ibias	1.5.1.1.1.15	Ibias
Ibis	9.1.1.2.6.30	Ibis
Ibiza honey	2.2.8.3.19.1	Ibiza honey
Ibiza vinegar	2.2.8.3.12.2	Ibiza vinegar
Ibo River water	6.7.4.3.16.2	Ibo River water
Ibreimi dates	3.2.1.4.3.2	Ibreimi dates
Ibu	1.3.5.3.20.4	Ibu
ibu	1.3.5.3.18.20	ibu
ibu	1.3.5.3.20.12	ibu
iburigakko	6.7.2.1.14.1	iburigakko
Ibusuki nanohana kanpachi	6.7.6.4.18.16	Ibusuki nanohana kanpachi
Ibusuki nanohana kanpachi	6.7.6.4.6.18	Ibusuki nanohana kanpachi
Ibyansi wooden milk containers	3.6.4.1.23.6	Ibyansi wooden milk containers
Ibyansi wooden milk containers	3.6.4.2.23.5	Ibyansi wooden milk containers
Ibyansi wooden milk containers	3.6.4.3.23.5	Ibyansi wooden milk containers
Ibyansi wooden milk containers	3.6.4.4.23.5	Ibyansi wooden milk containers
icaco	1.3.5.1.18.17	icaco
icaco	1.3.5.1.3.26	icaco
icaco	1.3.6.2.18.9	icaco
icaco	1.3.6.2.3.16	icaco
ice	8.2.3.2.24.3	ice
Ice cider	2.9.3.3.20.4	Ice cider
Ice cider	2.9.3.4.14.11	Ice cider
Ice cider	2.9.3.4.16.5	Ice cider
Ice cider	2.9.3.4.20.5	Ice cider
Ice cider	2.9.4.3.14.11	Ice cider
Ice cider	2.9.4.3.20.3	Ice cider
ice cider	1.1.14.1.16.10	ice cider
ice cider	1.1.14.1.18.3	ice cider
ice cider	1.1.14.1.20.2	ice cider
ice cider	1.1.14.2.16.6	ice cider
ice cider	1.1.14.2.18.4	ice cider
ice cider	1.1.14.2.20.3	ice cider
Ice cream	1.1.1.4.11.6	Ice cream
Ice cream	1.1.3.2.11.6	Ice cream
Ice cream	1.1.4.5.11.7	Ice cream
Ice cream	1.1.5.4.11.9	Ice cream
Ice cream	2.9.1.2.11.6	Ice cream
Ice cream	2.9.1.3.11.5	Ice cream
Ice cream	2.9.5.4.11.8	Ice cream
Ice cream	2.9.7.4.11.10	Ice cream
Ice cream	9.1.2.2.11.7	Ice cream
Ice cream	9.1.3.2.11.5	Ice cream
ice cream	1.1.13.3.11.11	ice cream
ice cream	3.7.1.1.11.9	ice cream
ice cream	5.1.1.2.11.7	ice cream
ice cream	5.1.1.4.11.4	ice cream
ice cream	5.2.1.2.11.7	ice cream
ice cream	7.2.1.3.11.7	ice cream
ice plant	7.2.1.3.18.1	ice plant
ice plant	7.2.1.3.2.11	ice plant
Ice-aroma rice	6.8.2.1.1.3	Ice-aroma rice
Ice-aroma rice	6.8.2.1.18.1	Ice-aroma rice
Iceberg lettuce	2.5.1.2.2.47	Iceberg lettuce
Iceberg lettuce	3.2.1.1.2.29	Iceberg lettuce
iceberg lettuce	7.2.1.3.2.9	iceberg lettuce
iceberg lettuce	9.4.2.1.2.18	iceberg lettuce
iced coffee	7.1.3.1.20.7	iced coffee
iced coffee	7.1.6.1.20.4	iced coffee
iced coffee	7.1.6.2.20.4	iced coffee
iced coffee	7.1.6.3.20.4	iced coffee
iced coffee	7.1.6.4.20.4	iced coffee
iced Labrador tea	1.1.14.3.20.13	iced Labrador tea
iced milk coffee	7.1.9.1.20.2	iced milk coffee
iced mint tea	3.1.1.1.16.3	iced mint tea
Iced tea	1.1.3.3.20.2	Iced tea
