!Khuxā coffee root	3.7.2.4.18.2
!Khuxā coffee root	3.7.2.4.19.2
!Khuxā coffee root powder	3.7.2.4.8.4
//Kȗnȋ, //Kȗnȋ, //Kȗnȋ	3.7.2.4.18.3
//Kȗnȋ, //Kȗnȋ, //Kȗnȋ	3.7.2.4.7.4
//Kȗnȋ, //Kȗnȋ, //Kȗnȋ	3.7.2.4.8.5
2.6.8 Kosovo	2.2.1.3.24.96
2K watermelon	6.1.1.3.3.14
3.6.1 Kenya	2.2.1.3.24.148
4.4.4 Kurdish Highlands	2.2.1.3.24.187
5.2.3 Khyber / Northwest	2.2.1.3.24.207
6.6 Korea	2.2.1.3.24.247
6.6.1 Korean North	2.2.1.3.24.248
6.6.2 Korean South	2.2.1.3.24.249
6.7.4 Kansai	2.2.1.3.24.252
7.3.4 Kalimantan	2.2.1.3.24.274
8.1.1 Kazakhstan	2.2.1.3.24.285
8.1.2 Kyrgyzstan	2.2.1.3.24.286
9.4.5 Kiribati	2.2.1.3.24.314
≠Kuni ≠Goas	3.7.2.4.18.4
≠Kuni ≠Goas	3.7.2.4.22.5
K'o'xa'an	1.3.1.3.18.3
k'tis kroeung	7.1.6.1.13.13
k'utbi ik	1.3.2.4.13.19
Ka Kyiad Hiar	5.5.5.3.20.4
Ka Kyiad Um	5.5.5.3.20.3
Ka Lamet leaf	5.5.5.3.23.2
Kaachri ki lunji	5.3.4.3.13.5
kaak	5.1.2.3.1.10
kaak	5.1.2.3.18.5
kaak	5.1.3.1.1.7
kaak	5.1.3.1.18.7
kaak	5.1.3.2.1.11
kaak	5.1.3.2.18.9
kaak dough	4.6.1.3.23.5
kaak dough	5.1.2.3.23.1
kaak dough	5.1.3.1.23.1
kaak dough	5.1.3.2.23.1
kaaku	9.5.3.3.13.3
Kaalo jeere	5.5.1.1.5.4
Kaalo jeere	5.5.1.1.8.8
kaani	3.4.1.1.13.7
kaar leaves	9.4.4.1.19.7
kaar leaves	9.4.4.2.19.3
kaar leaves	9.4.4.3.19.3
Kaashidhoo banana	5.8.2.2.18.8
Kaashidhoo betel leaves	5.8.2.2.18.9
kaba juice	3.4.1.4.20.7
kabaa	3.4.1.4.18.5
kabaa	3.4.1.4.3.17
Kabab chini	5.6.5.1.18.2
Kabab chini	5.6.5.1.8.20
kabansa	3.7.5.2.18.9
Kabile cider	2.9.7.2.18.7
Kabile cider	2.9.7.2.20.2
Kabkab dates	4.6.4.2.18.2
Kabkab dates	4.6.4.2.3.5
Kabocha squash	1.1.2.3.1.23
