1.4.7 Lesser Antilles / Creole Caribbean	2.2.1.3.24.23	1.4.7 Lesser Antilles / Creole Caribbean
2.3.9 Luxembourg	2.2.1.3.24.73	2.3.9 Luxembourg
2.9.7 Latvia	2.2.1.3.24.117	2.9.7 Latvia
2.9.8 Lithuania	2.2.1.3.24.118	2.9.8 Lithuania
3.1.4 Libya	2.2.1.3.24.124	3.1.4 Libya
4.3 Levant	2.2.1.3.24.177	4.3 Levant
4.3.1 Lebanon	2.2.1.3.24.178	4.3.1 Lebanon
7.1.5 Laos	2.2.1.3.24.262	7.1.5 Laos
7.4.1 Luzon	2.2.1.3.24.277	7.4.1 Luzon
L'Etivaz AOP	2.5.4.2.11.12	L'Etivaz AOP
L'Etivaz AOP	2.5.4.2.18.18	L'Etivaz AOP
lá bép	7.1.8.3.18.2	Bep leaves
lá bép	7.1.8.3.19.7	Bep leaves
lá bép leaves	7.1.8.3.2.5	bep leaves
La Bourle Trappiste	2.3.1.3.11.10	La Bourle Trappist
La Bourle Trappiste	2.3.1.3.18.6	La Bourle Trappist
lá é	7.1.8.3.7.1	there it is
lá é leaves	7.1.8.3.17.6	there are leaves
La France jam	6.7.2.2.15.5	France Jam
La France pears	6.7.2.2.12.5	La France pears
La France pears	6.7.2.2.3.7	La France pears
La Gâtine beer	2.3.2.1.20.8	La Gâtine beer
lá lốt	7.1.7.3.7.14	lolot leaves
lá lốt	7.1.8.4.7.11	lolot leaves
La Montagne chestnuts	2.3.4.4.3.11	Chestnuts Mountain
La Trappe trappist beer	2.3.8.3.14.4	La Trappe trappist beer
La Trappe trappist beer	2.3.8.3.20.1	La Trappe trappist beer
La Trappe trappist cheese	2.3.8.3.11.13	La Trappe trappist cheese
La Trappe trappist cheese	2.3.8.3.18.5	La Trappe trappist cheese
Laaer Gelbe	2.5.3.2.2.8	Laaer Gelbe
Laaer Rote	2.5.3.2.2.9	Laaer Rote
Laaer Weingartenknoblauch	2.5.3.2.2.14	Laaer Weingartenknoblauch
Laaer Zwiebel	2.5.3.2.18.8	Laaer Zwiebel
Laaer Zwiebel	2.5.3.2.2.7	Laaer Zwiebel
Laaer Zwiebel	2.5.3.2.9.2	Laaer Zwiebel
Laal pihri mushroom	5.4.5.2.2.30	Laal pihri mushroom
Laal saag	5.5.3.1.7.3	Laal saag
Laal saag	5.5.3.2.7.6	Laal saag
Laal shaak	5.5.1.1.7.5	Laal shaak
Lab	2.5.2.2.22.5	Lab
Lab	2.5.3.2.22.9	Lab
Lab	2.5.3.3.22.9	Lab
Lab	2.5.3.4.22.9	Lab
Lab	2.5.4.1.22.1	Lab
Lab	2.5.4.4.22.4	Lab
labada	4.1.1.3.7.11	labada
labada	4.1.2.2.2.16	labada
labada	4.1.2.3.7.8	labada
labada	4.1.3.1.7.5	labada
labada leaves	4.1.2.2.7.5	labada leaves
Laban	4.5.1.1.11.3	Laban
Laban	4.5.1.1.12.5	Laban
Laban	4.5.1.1.16.6	Laban
Laban	4.5.1.1.20.10	Laban
Laban	4.5.1.2.11.4	Laban
Laban	4.5.1.2.20.5	Laban
Laban	4.5.1.3.11.4	Laban
Laban	4.5.1.3.12.4	Laban
Laban	4.5.1.3.16.5	Laban
Laban	4.5.1.3.20.6	Laban
Laban	4.5.2.1.11.3	Laban
Laban	4.5.2.1.12.5	Laban
Laban	4.5.2.1.14.1	Laban
Laban	4.5.2.1.16.6	Laban
Laban	4.5.4.1.11.3	Laban
Laban	4.5.5.1.11.2	Laban
Laban	4.5.5.1.20.5	Laban
Laban	4.5.5.2.11.4	Laban
Laban	4.5.5.2.14.6	Laban
Laban	4.5.5.4.11.4	Laban
Laban	4.5.6.1.16.8	Laban
Laban	4.5.6.1.20.5	Laban
Laban	4.5.6.2.11.3	Laban
Laban	4.5.6.2.14.6	Laban
Laban	4.5.6.2.16.6	Laban
Laban	4.5.6.2.20.5	Laban
Laban	4.5.6.3.11.3	Laban
Laban	4.5.6.3.14.8	Laban
Laban	4.5.6.3.16.6	Laban
Laban	4.5.6.3.20.6	Laban
laban	3.4.7.1.11.5	laban
laban	3.4.7.1.14.2	laban
laban	4.4.1.1.11.1	laban
laban	4.4.2.1.11.5	laban
laban	4.4.2.2.11.6	laban
laban	4.4.2.3.11.6	laban
laban	4.4.3.3.11.4	laban
Laban culture	4.5.2.1.22.3	Laban culture
laban drink	4.4.1.1.20.6	laban drink
laban drink	4.4.2.1.16.5	laban drink
laban drink	4.4.2.1.20.5	laban drink
laban drink	4.4.2.2.20.5	laban drink
laban drink	4.4.2.3.16.6	laban drink
laban drink	4.4.2.3.20.8	laban drink
laban drink	4.4.3.3.20.5	laban drink
laban jameed	4.3.4.2.11.5	laban jameed
laban jameed	4.3.4.2.14.1	laban jameed
laban jameed	4.3.4.2.18.10	laban jameed
Laban rayeb	3.2.1.1.11.1	Laban rayeb
Laban rayeb	3.2.1.1.12.3	Laban rayeb
Laban rayeb	3.2.1.1.14.6	Laban rayeb
Laban rayeb	3.2.1.1.16.5	Laban rayeb
Laban rayeb	3.2.1.1.20.8	Laban rayeb
Laban rayeb	3.2.1.2.11.3	Laban rayeb
Laban rayeb	3.2.1.2.14.6	Laban rayeb
