1% milk	1.1.1.2.11.2	1% milk
1.1.2 Mid-Atlantic	1.1.1.4.24.5	1.1.2 Mid-Atlantic
1.1.6 Midwest / Great Lakes	1.1.5.5.24.6	1.1.6 Midwest / Great Lakes
1.2 Mexico	1.1.14.5.24.5	1.2 Mexico
2.6.6 Montenegro	2.2.1.3.24.94	2.6.6 Montenegro
2.7.1 Mainland Greece	2.2.1.3.24.99	2.7.1 Mainland Greece
2.8.6 Moldova	2.2.1.3.24.108	2.8.6 Moldova
2M beer	3.7.6.1.20.5	2M beer
3.1 Maghreb	2.2.1.3.24.120	3.1 Maghreb
3.1.1 Morocco	2.2.1.3.24.121	3.1.1 Morocco
3.7.6 Mozambique	2.2.1.3.24.159	3.7.6 Mozambique
3.7.7 Malawi	2.2.1.3.24.160	3.7.7 Malawi
3.8.1 Madagascar	2.2.1.3.24.162	3.8.1 Madagascar
3.8.2 Mauritius	2.2.1.3.24.163	3.8.2 Mauritius
4. Middle East / West Asia	2.2.1.3.24.167	4. Middle East / West Asia
4.4 Mesopotamia	2.2.1.3.24.183	4.4 Mesopotamia
5.4.2 Maharashtra	2.2.1.3.24.213	5.4.2 Maharashtra
5.8.2 Maldives	2.2.1.3.24.227	5.8.2 Maldives
6.8 Mongolia	2.2.1.3.24.253	6.8 Mongolia
6.8.1 Mongolian steppe	2.2.1.3.24.254	6.8.1 Mongolian steppe
7.1 Mainland Southeast Asia	2.2.1.3.24.257	7.1 Mainland Southeast Asia
7.1.1 Myanmar	2.2.1.3.24.258	7.1.1 Myanmar
7.2 Malay World	2.2.1.3.24.267	7.2 Malay World
7.3.6 Maluku / Spice Islands	2.2.1.3.24.275	7.3.6 Maluku / Spice Islands
7.4.3 Mindanao	2.2.1.3.24.279	7.4.3 Mindanao
7.4.4 Muslim South / Sulu sphere	2.2.1.3.24.280	7.4.4 Muslim South / Sulu sphere
9.3 Melanesia	2.2.1.3.24.306	9.3 Melanesia
9.4 Micronesia	2.2.1.3.24.310	9.4 Micronesia
9.4.3 Micronesian island groups	2.2.1.3.24.312	9.4.3 Micronesian island groups
9.4.4 Marshall Islands	2.2.1.3.24.313	9.4.4 Marshall Islands
mā	9.5.3.3.14.1	white
Ma bamboo shoots	6.5.3.1.2.2	Ma bamboo shoots
ma laep seeds	7.1.2.1.5.8	ma laep seeds
ma laep seeds	7.1.2.1.8.8	ma laep seeds
Ma'ajeen	4.5.5.3.14.1	Ma'ajeen
Ma'ajeen	4.5.5.3.18.3	Ma'ajeen
Maad	5.5.4.3.16.3	Maad
Maad	5.5.4.3.20.2	Maad
Maad	5.7.1.1.20.7	Maad
maaji	6.7.4.1.6.15	maaji
Maajin	4.5.5.3.18.8	Maajin
Maakhan	5.5.3.3.10.3	Maakhan
Maakhan	5.5.3.3.11.8	Maakhan
Maalu leaves	5.3.1.4.23.2	Maalu leaves
Maamoul	4.5.3.3.18.11	Maamoul
maanago	6.7.4.1.6.10	maanago
Maand	5.5.5.1.16.2	Maand
Maara	5.5.3.1.6.4	Maara
maas	3.7.1.1.11.2	maas
maas	3.7.1.2.11.4	maas
maas	3.7.1.2.14.2	maas
maas	3.7.1.3.11.3	maas
maas	3.7.1.3.14.2	maas
maas	3.7.1.4.11.3	maas
maas	3.7.1.4.14.2	maas
maas	3.7.1.5.11.2	maas
maas	3.7.1.5.14.2	maas
maas	3.7.1.6.11.3	maas
maas	3.7.1.6.14.2	maas
maas	3.7.1.7.11.2	maas
maas	3.7.4.1.11.4	maas
maas	3.7.4.2.11.4	maas
maas	3.7.4.4.11.4	maas
maas	3.7.5.1.11.4	maas
maas	3.7.5.2.11.4	maas
maas	3.7.5.3.11.4	maas
maash	5.1.2.2.4.2	maash
maatjes herring	2.3.8.1.14.1	maatjes herring
maatjes herring	2.3.8.1.18.12	maatjes herring
Maavadu	5.6.2.1.14.13	Maavadu
Maavadu	5.6.2.2.14.13	Maavadu
Maavadu pickle	5.6.2.1.13.12	Maavadu pickle
Maavadu pickle	5.6.2.2.13.13	Maavadu pickle
Maavadu pickle	5.6.2.3.13.15	Maavadu pickle
Maavadu pickle	5.6.2.3.14.11	Maavadu pickle
Maavadu pickle	5.6.2.4.13.13	Maavadu pickle
Maavadu pickle	5.6.2.4.14.13	Maavadu pickle
Maavadu pickle	5.6.2.5.13.10	Maavadu pickle
Maavadu pickle	5.6.2.5.14.12	Maavadu pickle
Mabal	1.3.1.5.7.12	Mabal
mabi	3.4.2.3.13.3	mabi
mabi	3.4.2.3.14.5	mabi
mabi	3.4.2.3.18.6	mabi
mabisi	3.7.5.4.11.1	mabisi
mabisi	3.7.5.4.12.6	mabisi
mabisi	3.7.5.4.14.1	mabisi
mabisi	3.7.5.4.16.4	mabisi
mabisi	3.7.5.4.20.1	mabisi
mabisi culture	3.7.5.4.22.4	mabisi culture
maboya	6.7.1.1.18.5	maboya
maboya	6.7.1.1.6.33	maboya
maboya sea squirt	6.7.2.3.18.1	maboya sea squirt
maboya sea squirt	6.7.2.3.6.27	maboya sea squirt
Mabroom dates	4.5.1.2.3.7	Mabroom dates
Mabroom dates	4.5.2.2.3.15	Mabroom dates
Mabuyu	3.6.1.1.18.2	Mabuyu
mac khen	7.1.7.2.5.6	mac khen
mac khen	7.1.7.2.8.1	mac khen
mac khen leaves	7.1.7.2.7.9	mac khen leaves
mac khen salt	7.1.7.2.13.3	mac khen salt
mac khen salt	7.1.7.2.17.8	mac khen salt
mac khen salt	7.1.7.2.21.3	mac khen salt
mac mat	7.1.7.2.19.6	mac mat
mac mat fruit	7.1.7.2.12.5	mac mat fruit
mac mat fruit	7.1.7.2.18.10	mac mat fruit
mac mat fruit	7.1.7.2.3.8	mac mat fruit
mac mat leaves	7.1.7.2.7.1	mac mat leaves
maca	1.6.2.2.19.3	maca
maçã	1.7.5.3.3.5	litter
maçã	2.2.1.1.3.10	litter
maçã Bravo de Esmolfe	2.2.1.3.3.1	Bravo de Esmolfe apple
maçã da Beira Alta	2.2.1.3.3.2	apple from Beira Alta
maçã de montanha de Armamar	2.2.1.2.3.10	Armamar mountain apple
maçã de Portalegre	2.2.1.4.3.5	Portalegre apple
maçã Fuji	1.7.5.4.18.4	Fuji apple
maçã Fuji	1.7.5.4.3.1	Fuji apple
maçã Gala	2.2.1.3.3.4	Gala apple
maçã Golden	2.2.1.3.3.3	golden apple
maçã Granny Smith	2.2.1.3.3.8	Granny Smith apple
maçã Jonagold	2.2.1.3.3.7	Jonagold apple
maçã Jonared	2.2.1.3.3.9	Jonared apple
maca negra	1.6.2.2.1.16	maca negra
maca negra	1.6.2.2.18.4	maca negra
maçã Red Delicious	2.2.1.3.3.5	Red Delicious apple
maçã Reineta	2.2.1.3.3.10	Reineta apple
maca roja	1.6.2.2.1.15	maca roja
maca roja	1.6.2.2.18.3	maca roja
maçã SCS1605 Serrana	1.7.5.4.18.5	apple SCS1605 Serrana
maçã SCS1605 Serrana	1.7.5.4.3.2	apple SCS1605 Serrana
maçã Starking	2.2.1.3.3.6	Starking apple
Macabeu grapes	2.3.6.3.3.20	Macabeu grapes
Macabí	1.5.3.1.6.14	Macabí
Macabo	3.5.1.1.1.10	Macabo
Macabo	3.5.1.2.1.11	Macabo
Macabo	3.5.5.2.1.16	Macabo
Macabo leaves	3.5.1.2.2.5	Macabo leaves
Macadamia	1.4.3.3.5.2	Macadamia
Macadamia	9.1.2.1.5.1	Macadamia
macadamia	1.2.3.2.5.4	macadamia
macadamia	1.3.6.5.5.2	macadamia
macadamia	9.2.2.1.18.4	macadamia
macadamia	9.2.2.1.5.1	macadamia
macadamia	9.2.2.2.5.3	macadamia
macadamia blossom honey	1.1.12.2.15.2	macadamia blossom honey
macadamia blossom honey	1.1.12.3.15.3	macadamia blossom honey
Macadamia butter	9.1.2.1.13.5	Macadamia butter
Macadamia butter	9.1.4.1.13.7	Macadamia butter
Macadamia butter	9.1.4.2.13.8	Macadamia butter
Macadamia de Jarabacoa	1.4.3.3.18.7	Macadamia from Jarabacoa
Macadamia kernel	9.1.2.1.5.2	Macadamia kernel
Macadamia meal	9.1.4.1.1.9	Macadamia meal
Macadamia meal	9.1.4.1.22.5	Macadamia meal
Macadamia meal	9.1.4.2.1.8	Macadamia meal
macadamia nut	1.1.12.4.3.16	macadamia nut
macadamia nut oil	1.1.12.1.10.3	macadamia nut oil
macadamia nut oil	1.1.12.2.10.3	macadamia nut oil
macadamia nut oil	1.1.12.3.10.3	macadamia nut oil
macadamia nut oil	1.1.12.4.10.3	macadamia nut oil
macadamia nut pesto	1.1.12.4.13.14	macadamia nut pesto
Macadamia nuts	3.6.1.2.18.4	Macadamia nuts
Macadamia nuts	3.6.1.2.5.1	Macadamia nuts
Macadamia nuts	3.6.1.3.5.1	Macadamia nuts
Macadamia nuts	9.1.4.1.18.3	Macadamia nuts
Macadamia nuts	9.1.4.1.5.1	Macadamia nuts
Macadamia nuts	9.1.5.4.17.3	Macadamia nuts
Macadamia nuts	9.1.5.4.18.4	Macadamia nuts
macadamia nuts	1.1.10.4.5.4	macadamia nuts
macadamia nuts	1.1.12.1.5.1	macadamia nuts
macadamia nuts	1.1.12.2.18.3	macadamia nuts
macadamia nuts	1.1.12.2.5.1	macadamia nuts
macadamia nuts	1.1.12.3.5.1	macadamia nuts
macadamia nuts	1.1.12.4.5.1	macadamia nuts
macadamia nuts	3.7.1.3.5.1	macadamia nuts
macadamia nuts	3.7.4.3.18.3	macadamia nuts
macadamia nuts	3.7.4.3.5.1	macadamia nuts
macadamia nuts	3.7.6.2.18.6	macadamia nuts
macadamia nuts	3.7.6.2.5.5	macadamia nuts
macadamia nuts	3.7.7.1.18.4	macadamia nuts
macadamia nuts	3.7.7.1.5.2	macadamia nuts
macadamia nuts	3.7.7.2.5.3	macadamia nuts
macadamia nuts	3.7.7.3.18.3	macadamia nuts
macadamia nuts	3.7.7.3.5.4	macadamia nuts
macadamia nuts	6.4.2.3.5.1	macadamia nuts
macadamia nuts	7.1.8.3.5.6	macadamia nuts
Macadamia oil	9.1.2.1.10.1	Macadamia oil
Macadamia oil	9.1.4.1.10.1	Macadamia oil
Macadamia oil	9.1.4.2.10.1	Macadamia oil
