Aal | 2.5.1.1.6.15
Aal | 2.5.1.2.6.18
Aal | 2.5.1.3.6.10
Aal | 2.5.1.4.6.12
aasa | 6.7.7.2.6.12
Aba fish | 3.2.3.4.6.14
Abalone | 2.3.1.2.6.25
Abalone | 7.4.3.1.6.20
Abalone | 7.4.4.4.6.18
Abalone | 9.1.1.3.6.10
Abalone | 9.1.1.4.6.11
Abalone | 9.1.2.1.6.26
Abalone | 9.1.2.2.6.3
Abalone | 9.1.3.3.6.4
abalone | 3.7.1.1.6.17
abalone | 3.7.1.2.6.11
abalone | 3.7.2.3.6.18
abalone | 6.1.2.1.6.2
abalone | 6.1.3.1.6.2
abalone | 6.3.1.4.6.28
abalone | 6.3.3.1.6.18
abalone | 6.3.3.2.6.11
abalone | 6.3.3.4.6.10
abalone | 6.6.2.1.6.28
abalone | 6.6.2.2.6.12
abalone | 6.6.3.1.6.11
abalone | 6.6.3.2.6.11
abalone | 6.7.2.1.6.24
abalone | 6.7.2.3.6.25
abalone | 6.7.3.3.6.2
abalone | 6.7.4.3.6.10
abalone | 6.7.6.2.6.35
abalone | 6.7.6.5.6.38
Abanico ibérico | 2.2.7.5.6.7
abanicos de porco preto | 2.2.1.4.6.7
Abbacchio Romano IGP | 2.4.4.1.6.6
Abbacchio Romano IGP | 2.4.4.2.6.1
Aberdeen Angus beef | 2.1.2.3.6.1
Aberdeenshire lamb | 2.1.2.3.6.2
abobi | 3.4.4.4.6.12
abu mullet | 4.4.3.2.6.14
Abukuma maple salmon | 6.7.2.2.6.15
abulón rojo | 1.2.1.1.6.12
aburaage | 6.7.5.3.6.24
Acacia colei root grubs | 9.1.1.1.6.3
acamaya | 1.2.3.1.6.7
acamaya | 1.2.3.3.6.17
acciughe | 2.4.1.2.6.2
acciughe di Monterosso | 2.4.1.2.6.1
acciughe sotto sale | 2.4.1.1.6.17
acciughe sotto sale | 2.4.4.1.6.17
acedía | 2.2.7.2.6.15
achigã | 2.2.1.3.6.20
acocil | 1.2.2.1.6.12
Adriatic oysters | 2.6.6.1.6.7
African bonytongue | 3.2.3.4.6.13
African bonytongue | 3.4.1.4.6.2
African bonytongue | 3.4.2.4.6.6
African bonytongue | 3.4.3.2.6.3
African bonytongue | 3.4.3.4.6.7
African bonytongue | 3.4.4.4.6.5
African bonytongue | 3.4.5.2.6.5
African bonytongue | 3.4.6.2.6.6
African bonytongue | 3.4.6.4.6.6
African bonytongue | 3.4.6.5.6.8
African bonytongue | 3.4.6.6.6.8
African bonytongue | 3.4.7.4.6.8
African bush squirrel | 3.7.5.4.6.27
African carp | 3.4.3.4.6.12
African carp | 3.4.6.5.6.10
African catfish | 3.2.1.1.6.8
African catfish | 3.2.1.3.6.10
African catfish | 3.2.3.1.6.7
African catfish | 3.2.3.2.6.8
African catfish | 3.2.3.3.6.8
African catfish | 3.2.3.4.6.10
African catfish | 3.3.1.4.6.8
African catfish | 3.3.1.5.6.8
African catfish | 8.1.3.2.6.11
African catfish | 8.1.5.1.6.11
African knifefish | 3.4.7.4.6.12
African lungfish | 3.2.3.4.6.15
African moonfish | 3.4.4.1.6.13
African mudfish | 3.4.7.4.6.5
African robber | 3.2.2.5.6.15
Afyon Pastırması | 4.1.2.2.6.12
Afyon Sucuğu | 4.1.2.2.6.11
Aged tripe | 4.5.2.2.6.4
Agneau de Lozère | 2.3.2.3.6.7
Agneau de Sisteron | 2.3.6.1.6.1
agnello | 2.4.3.2.6.20
agnello | 2.4.4.2.6.20
agnello | 2.4.6.1.6.16
agnello | 2.4.6.2.6.27
agnello | 2.4.6.3.6.5
agnello | 2.4.7.1.6.2
agnello | 2.4.7.2.6.2
agnello | 2.4.7.3.6.2
agnello | 2.4.7.4.6.24
agnello | 2.5.4.3.6.18
Agnello del Centro Italia IGP | 2.4.3.1.6.4
Agnello del Centro Italia IGP | 2.4.3.3.6.6
Agnello del Centro Italia IGP | 2.4.4.2.6.2
agnello delle Dolomiti Lucane | 2.4.5.3.6.9
agnello di Carmasciano | 2.4.5.1.6.5
Agnello di razza brianzola | 2.4.1.4.6.22
Agnello di Sardegna IGP | 2.4.7.1.6.1
Agnello di Sardegna IGP | 2.4.7.2.6.1
Agnello di Sardegna IGP | 2.4.7.3.6.1
Agnello di Sardegna IGP | 2.4.7.4.6.23
Agone | 2.5.4.3.6.51
agone | 2.4.1.4.6.13
agoni | 2.5.4.3.6.29
agu pork | 6.7.7.1.6.1
Agudung snails | 7.4.1.3.6.11
ahi | 1.1.12.1.6.6
ahi | 1.1.12.2.6.6
ahi | 1.1.12.3.6.8
ahi | 1.1.12.4.6.6
ahi | 1.1.12.5.6.3
aholehole | 1.1.12.5.6.7
ahtapot | 4.1.1.2.6.41
ahuautle | 1.2.2.1.6.13
Aichi beef | 6.7.5.3.6.3
Air-dried meat | 6.8.1.1.6.6
Air-dried mutton | 6.8.1.2.6.5
Aischgründer carp | 2.5.2.3.6.15
Aischgründer Karpfen | 2.5.2.3.6.8
Aizu jidori | 6.7.2.2.6.5
akagai | 6.7.3.1.6.10
akagai | 6.7.6.1.6.28
akagarei | 6.7.1.1.6.18
Akan pork | 6.7.1.2.6.20
Akan Tancho wagyu | 6.7.1.2.6.22
Akaroa cod | 9.2.3.1.6.11
Akaroa king salmon | 9.2.3.1.6.7
Akashi octopus | 6.7.4.3.6.2
Akashi sea bream | 6.7.4.3.6.1
akaza-ebi shrimp | 6.7.5.3.6.9
Akita beef | 6.7.2.1.6.32
Akoya pearl oyster | 9.1.2.1.6.4
aku | 1.1.12.1.6.9
aku | 1.1.12.2.6.9
aku | 1.1.12.3.6.11
aku | 1.1.12.5.6.4
akule | 1.1.12.2.6.17
akule | 1.1.12.3.6.23
akule | 1.1.12.4.6.22
akule | 1.1.12.5.6.5
Akune no Hana Aji | 6.7.6.4.6.22
alabalık | 4.1.1.2.6.40
alabalık | 4.1.4.1.6.21
alabalık | 4.1.4.3.6.3
alabalık | 4.1.5.2.6.17
Alabio duck | 7.3.4.2.6.14
Alabio duck eggs | 7.3.4.2.6.17
Albacora | 1.5.5.1.6.1
Albacora | 1.5.5.2.6.1
Albacora | 1.5.5.3.6.1
Albacora | 1.5.5.4.6.5
Albacora | 1.8.4.2.6.10
Albacore tuna | 2.3.1.4.6.26
Albacore tuna | 9.3.5.1.6.7
Albacore tuna | 9.3.5.2.6.11
albacore tuna | 1.1.10.4.6.14
albacore tuna | 1.1.10.5.6.13
albacore tuna | 1.1.13.4.6.12
albacore tuna | 6.7.7.1.6.13
albacore tuna | 9.5.1.1.6.5
albacore tuna | 9.5.3.1.6.5
alborelle | 2.5.4.3.6.28
Aldudes sausage | 2.3.4.2.6.7
Aldudes Valley ham | 2.3.4.2.6.5
ale-ale clams | 7.3.4.1.6.17
Alestes | 3.4.6.4.6.9
Alestes | 3.4.6.6.6.12
Alestes | 3.4.7.1.6.10
Alestes | 3.4.7.2.6.7
Alestes | 3.4.7.3.6.6
alestes | 3.4.1.2.6.5
Alestes baremose | 3.2.1.4.6.19
Alestes baremoze | 3.2.2.2.6.16
Alestes baremoze | 3.2.3.3.6.13
Alestes dentex | 3.2.1.4.6.20
alfonsino | 9.2.3.4.6.42
alheira de Mirandela | 2.2.1.2.6.7
alheira de Vinhais | 2.2.1.2.6.6
alici | 2.4.3.3.6.14
alici | 2.4.6.2.6.4
alici | 2.4.7.1.6.23
alici | 2.4.7.2.6.28
alici | 2.4.7.4.6.20
alici di Aspra | 2.4.6.1.6.5
alici di menaica | 2.4.5.1.6.17
alici fresche | 2.4.4.3.6.4
alici marinate | 2.4.4.3.6.3
alici sotto sale | 2.4.5.1.6.18
alici sotto sale | 2.4.5.3.6.11
alici sotto sale | 2.4.6.1.6.6
alici sotto sale | 2.4.6.2.6.5
Alici sotto sale del Golfo di Gaeta | 2.4.4.3.6.2
alitas de pollo | 1.3.6.3.6.9
Alligator | 1.1.5.1.6.8
Alligator | 1.1.5.2.6.21
Alligator garfish | 1.1.5.1.6.9
Almeja | 1.3.4.5.6.9
Almeja | 1.5.2.3.6.16
Almeja | 1.5.5.3.6.6
Almeja | 1.8.1.6.6.25
Almeja | 1.8.3.3.6.20
Almeja | 1.8.4.2.6.20
Almeja | 1.8.5.2.6.18
Almeja | 1.8.5.3.6.12
almeja | 1.2.3.2.6.17
almeja | 1.2.4.1.6.14
almeja | 1.2.7.3.6.14
almeja | 1.3.1.4.6.29
almeja | 1.3.4.5.6.17
almeja | 1.3.5.1.6.42
almeja | 1.3.6.2.6.41
almeja | 1.3.6.4.6.21
almeja | 1.3.7.1.6.25
almeja | 1.3.7.4.6.5
almeja | 2.2.2.3.6.29
almeja | 2.2.2.4.6.14
almeja | 2.2.3.1.6.18
almeja | 2.2.3.2.6.20
almeja | 2.2.6.3.6.41
almeja | 2.2.7.3.6.16
almeja | 2.2.7.4.6.35
Almeja amarilla | 1.8.2.3.6.10
almeja arenera | 1.2.1.1.6.18
almeja blanca | 1.2.1.1.6.19
almeja blanca | 1.2.1.2.6.15
almeja catarina | 1.2.1.2.6.17
almeja chocolata | 1.2.1.2.6.18
almeja fina | 2.2.7.2.6.25
almeja generosa | 1.2.1.1.6.16
almeja manila | 1.2.1.1.6.17
almeja reyna | 1.2.4.2.6.8
almeja roñosa | 1.2.1.2.6.16
Almejas | 1.3.3.4.6.11
Almejas | 1.8.4.1.6.22
almejas | 1.6.1.1.6.9
almejillón | 1.3.6.4.6.22
ALMO-Rind | 2.5.3.4.6.1
Alose | 2.3.4.1.6.18
alpaca | 1.6.2.2.6.2
alpaca | 1.6.2.3.6.3
alpaca | 1.6.2.4.6.1
alpaca | 1.6.4.1.6.2
alpaca | 1.6.4.2.6.2
Alpenlachs | 2.5.3.3.6.17
Alpensaibling | 2.5.3.3.6.16
Altai marbled beef | 8.2.1.2.6.2
Altay big-tail sheep mutton | 6.4.4.2.6.2
Altay sheep mutton | 6.4.4.4.6.2
amaebi | 6.7.5.1.6.5
amago | 6.7.5.2.6.20
amago trout | 6.7.4.4.6.8
Amakusa Daio chicken | 6.7.6.3.6.3
Amberjack | 1.1.3.6.6.17
Amberjack | 1.1.5.4.6.19
Amberjack | 2.2.8.1.6.18
Amberjack | 2.2.8.3.6.10
amberjack | 6.7.7.3.6.38
ameijoa | 2.2.1.4.6.50
amêijoa | 2.2.1.5.6.9
ameixa babosa | 2.2.2.1.6.15
ameixa dourada | 2.2.2.1.6.12
ameixa fina | 2.2.2.1.6.11
ameixa rubia | 2.2.2.1.6.13
ameixa xaponesa | 2.2.2.1.6.14
amemasu | 6.7.1.3.6.7
American eel | 1.1.1.1.6.28
American lobster | 1.1.1.3.6.1
American lobster | 1.1.1.4.6.10
American shad | 1.1.11.3.6.8
American shad | 1.1.2.2.6.8
Ammerländer Schinken | 2.5.1.1.6.31
amur | 2.5.6.3.6.17
Amvrakikos shrimp | 2.7.1.3.6.20
anadara clam | 8.2.4.2.6.4
ʻanae | 1.1.12.5.6.6
anago | 6.7.3.1.6.1
anago | 6.7.4.3.6.4
anago | 6.7.5.3.6.13
anatra | 2.4.2.1.6.19
anchoa | 2.2.2.3.6.13
