1.1.9 Southwest / Borderlands	1.1.8.6.24.6	1.1.9 Southwest / Borderlands
1.7.4 Southeast Brazil	2.2.1.3.24.42	1.7.4 Southeast Brazil
1.7.5 South Brazil	2.2.1.3.24.43	1.7.5 South Brazil
1.8 Southern Cone	2.2.1.3.24.45	1.8 Southern Cone
2.1.2 Scotland	2.2.1.3.24.54	2.1.2 Scotland
2.3.4 Southwest France	2.2.1.3.24.69	2.3.4 Southwest France
2.4.5 Southern Italy	2.2.1.3.24.78	2.4.5 Southern Italy
2.4.6 Sicily	2.2.1.3.24.79	2.4.6 Sicily
2.4.7 Sardinia	2.2.1.3.24.80	2.4.7 Sardinia
2.5.4 Switzerland	2.2.1.3.24.85	2.5.4 Switzerland
2.5.6 Slovak	2.2.1.3.24.87	2.5.6 Slovak
2.6.1 Slovenia	2.2.1.3.24.89	2.6.1 Slovenia
2.6.5 Serbia	2.2.1.3.24.93	2.6.5 Serbia
2.9.3 Sweden	2.2.1.3.24.113	2.9.3 Sweden
3.2.2 Sudan	2.2.1.3.24.127	3.2.2 Sudan
3.2.3 South Sudan	2.2.1.3.24.128	3.2.3 South Sudan
3.3.3 Somalia	2.2.1.3.24.132	3.3.3 Somalia
3.4.1 Senegal / Gambia	2.2.1.3.24.135	3.4.1 Senegal / Gambia
3.4.3 Sierra Leone / Liberia	2.2.1.3.24.137	3.4.3 Sierra Leone / Liberia
3.7 Southern Africa	2.2.1.3.24.153	3.7 Southern Africa
3.7.1 South Africa	2.2.1.3.24.154	3.7.1 South Africa
3.8.4 Seychelles	2.2.1.3.24.165	3.8.4 Seychelles
4.1.5 Southeast Anatolia	2.2.1.3.24.173	4.1.5 Southeast Anatolia
4.3.2 Syria	2.2.1.3.24.179	4.3.2 Syria
5. South Asia	2.2.1.3.24.199	5. South Asia
5.2.2 Sindh	2.2.1.3.24.206	5.2.2 Sindh
5.6 South India	2.2.1.3.24.219	5.6 South India
6.1.2 Shandong	2.2.1.3.24.230	6.1.2 Shandong
6.2.2 Shanghai	2.2.1.3.24.234	6.2.2 Shanghai
6.3 Southern China	2.2.1.3.24.235	6.3 Southern China
6.5.2 Southern Taiwan	2.2.1.3.24.245	6.5.2 Southern Taiwan
7. Southeast Asia	2.2.1.3.24.256	7. Southeast Asia
7.2.2 Singapore	2.2.1.3.24.268	7.2.2 Singapore
7.3.1 Sumatra	2.2.1.3.24.272	7.3.1 Sumatra
8.2 Siberia / North Asia	2.2.1.3.24.290	8.2 Siberia / North Asia
9.1.2 Southeast Australia	2.2.1.3.24.298	9.1.2 Southeast Australia
9.1.3 Southern Australia / Adelaide belt	2.2.1.3.24.299	9.1.3 Southern Australia / Adelaide belt
9.2.3 South Island	2.2.1.3.24.305	9.2.3 South Island
9.3.3 Solomon Islands	2.2.1.3.24.308	9.3.3 Solomon Islands
9.5.1 Samoa	2.2.1.3.24.316	9.5.1 Samoa
=3.4.7 Sahel West	2.2.1.3.24.140	=3.4.7 Sahel West
Sa Chau fish sauce	7.1.7.3.13.2	Sa Chau fish sauce
sa frue	2.4.7.3.11.8	sa frue
sa purpuzza	2.4.7.3.6.18	sa purpuzza
Sa-um	5.5.5.6.13.2	Sa-um
Sa-um	5.5.5.6.14.2	Sa-um
Sa-um	5.5.5.6.18.2	Sa-um
sałaciorka	2.8.1.3.18.3	salad
