1.1.8 Texas / Tex-Mex	1.1.7.5.24.6
1.4.6 Trinidadian / Tobagonian / Indo-Caribbean	2.2.1.3.24.22
3.1.3 Tunisia	2.2.1.3.24.123
3.6.2 Tanzania	2.2.1.3.24.149
4.1.1 Turkish Marmara / Thrace	2.2.1.3.24.169
4.6.2 Tehran / Central Iran	2.2.1.3.24.195
5.6.5 Telangana	2.2.1.3.24.221
5.7.3 Tibetan-influenced Himalayan belts	2.2.1.3.24.225
6.5 Taiwan	2.2.1.3.24.243
7.1.2 Thailand North	2.2.1.3.24.259
7.1.3 Thailand Central	2.2.1.3.24.260
7.1.4 Thailand South	2.2.1.3.24.261
7.5 Timor	2.2.1.3.24.281
8.1.4 Tajikistan	2.2.1.3.24.288
8.1.5 Turkmenistan	2.2.1.3.24.289
9.1.6 Tasmania	2.2.1.3.24.302
9.5.2 Tonga	2.2.1.3.24.317
9.5.3 Tahiti / French Polynesia	2.2.1.3.24.318
T55 wheat flour	2.3.1.1.1.5
T55 wheat flour	2.3.1.4.1.4
ta'am	3.1.2.4.18.2
ta'amu	9.5.1.1.1.3
ta'amu	9.5.1.2.1.3
Ta'ateemah fatoot	4.5.1.2.1.12
Ta'ateemah fatoot	4.5.1.2.18.6
Ta'mu	7.4.3.3.18.6
Taak	5.4.2.2.11.5
Taak	5.4.2.2.16.3
Taak	5.4.2.2.20.1
Taak	5.4.2.3.11.6
Taak	5.4.2.3.16.3
Taak	5.4.2.3.20.1
Taak	5.4.2.4.11.6
Taak	5.4.2.4.16.3
Taak	5.4.2.4.20.1
taamu	9.5.6.4.1.9
taamu	9.5.6.4.18.5
Taana	6.8.1.2.18.5
Taana	6.8.1.2.19.3
Taana	6.8.1.2.2.6
Taana	6.8.1.2.9.3
Taana shoots	6.8.1.2.7.2
taasbant	3.1.2.2.18.8
tabahag	5.1.3.3.14.3
tabaheg	5.1.3.1.14.6
tabaheg	5.1.3.1.18.9
taberna	1.2.7.4.20.11
taberna de coyol, taberna de coyol, taberna de coyol	1.2.7.3.20.13
tabil	3.1.3.2.13.2
Tabili dates	4.5.3.4.3.14
table beets	8.1.1.1.2.3
table beets	8.1.1.5.2.10
table beets	8.1.2.1.2.8
table beets	8.1.2.2.2.5
table beets	8.1.2.3.2.3
table beets	8.1.2.4.2.12
table beets	8.1.3.1.2.12
table beets	8.1.3.2.2.14
table beets	8.1.3.3.2.14
table beets	8.1.3.4.2.14
table beets	8.1.4.1.2.11
table beets	8.1.4.2.2.12
table beets	8.1.4.3.2.12
table cassava, table cassava, mandioca-de-mesa	1.7.6.4.1.5
table chili, table chili, Ají de mesa	1.5.5.2.13.12
table chocolate, table chocolate, chocolate de mesa	1.2.3.4.16.9
table chocolate, table chocolate, chocolate de mesa	1.2.5.1.16.8
table chocolate, table chocolate, chocolate de mesa	1.2.5.3.16.9
Table cream	1.4.6.2.11.8
Table cream	4.5.4.4.11.5
Table cream	7.4.1.1.11.8
table grape	4.1.2.1.3.8
table grape	4.1.2.3.3.11
table grape	4.1.4.1.3.3
table grape	4.1.5.1.3.4
table grape	4.1.5.2.3.9
table grape	4.1.5.3.3.5
table grape, table grape, Uva de mesa	1.8.3.2.3.10
table grape, table grape, Uva de mesa	1.8.3.3.3.14
table grape, table grape, Uva de mesa	1.8.4.1.3.2
table grape, table grape, Uva de mesa	1.8.4.2.3.10
table grape, table grape, Uva de mesa	1.8.4.3.3.13
table grape, table grape, uva de mesa	1.2.1.1.3.9
table grape, table grape, uva de mesa	1.2.1.2.3.1
table grape, table grape, uva de mesa	1.2.1.5.3.12
Table grapes	1.1.2.3.3.29
Table grapes	1.1.2.5.3.23
Table grapes	2.3.4.3.3.2
Table grapes	9.1.2.3.3.4
Table grapes	9.1.3.1.3.2
Table grapes	9.1.3.2.3.2
Table grapes	9.1.3.3.3.2
Table grapes	9.1.4.3.3.2
Table grapes	9.1.5.4.3.3
table grapes	1.1.10.3.18.3
table grapes	1.1.10.3.3.12
table grapes	1.1.11.3.3.20
table grapes	1.1.11.4.3.11
table grapes	1.1.8.4.3.4
table grapes	1.1.9.4.3.25
table grapes	2.3.7.2.3.2
table grapes	2.3.7.3.3.7
table grapes	2.3.8.1.3.2
table grapes	2.6.8.1.3.10
table grapes	2.6.9.1.3.9
table grapes	2.6.9.2.3.5
table grapes	2.7.3.1.3.17
table grapes	3.7.1.7.3.2
table grapes	3.7.2.4.3.1
table grapes	4.1.1.2.3.1
table grapes	4.3.5.1.3.3
table grapes	4.3.5.3.3.3
table grapes	4.3.5.4.3.4
table grapes	4.3.5.5.3.15
table grapes	9.2.2.1.3.12
Table grapes of Mazzarrone IGP Victoria, Table grapes of Mazzarrone IGP Victoria, Uva da Tavola di Mazzarrone IGP Victoria	2.4.6.2.3.9
table myzithra	2.7.2.3.11.7
table olive, table olive, Aceituna de mesa	1.8.4.1.18.10
Table olives	9.1.3.1.14.2
Table olives	9.1.3.2.13.7
Table olives	9.1.3.3.13.2
table olives	3.1.1.2.14.2
table olives	3.1.1.3.14.4
table olives	3.1.2.1.14.4
table olives	3.1.2.2.14.3
table olives	3.1.3.1.14.4
table olives	3.1.3.2.14.1
table olives	3.1.3.2.17.6
table olives	3.1.3.3.14.1
table olives	3.1.3.4.14.1
table olives	3.1.4.1.14.3
table olives	3.1.4.2.14.1
table olives	3.1.4.2.17.5
table olives	3.1.4.3.14.7
table olives	3.7.2.3.14.1
table peach, table peach, Durazno de mesa	1.8.4.1.3.17
table peach, table peach, Durazno de mesa	1.8.4.3.3.9
table potatoes	3.7.8.1.1.13
table potatoes	3.7.8.2.1.8
Table salt	1.1.13.6.21.4
Table salt	1.1.14.6.21.4
Table salt	1.2.1.6.21.3
Table salt	1.2.2.6.21.3
Table salt	1.2.2.7.21.3
Table salt	1.2.2.8.21.3
Table salt	1.2.2.9.21.3
Table salt	1.2.3.5.21.3
Table salt	1.2.3.6.21.3
Table salt	1.2.4.6.21.3
Table salt	3.3.1.1.21.1
Table salt	3.6.1.2.21.1
Table salt	3.6.1.3.21.1
Table salt	3.6.1.4.21.1
Table salt	3.6.2.3.21.1
Table salt	3.6.2.4.21.1
Table salt	3.6.2.5.21.1
Table salt	3.6.3.1.21.1
Table salt	3.6.3.2.21.1
Table salt	3.6.3.3.21.1
Table salt	3.6.3.4.21.1
Table salt	3.6.4.1.21.1
Table salt	3.6.4.2.21.1
Table salt	3.6.4.3.21.1
Table salt	3.6.4.4.21.1
Table salt	3.6.5.1.21.1
Table salt	3.6.5.2.21.1
Table salt	3.6.5.3.21.1
Table salt	5.5.1.3.21.1
Table salt	6.5.1.1.21.3
Table salt	6.5.1.2.21.3
Table salt	6.5.1.3.21.3
Table salt	6.5.2.2.21.3
Table salt	6.5.2.3.21.3
Table salt	6.5.2.4.21.3
Table salt	9.3.1.1.21.1
Table salt	9.3.1.3.21.1
Table salt	9.3.1.4.21.1
Table salt	9.3.2.1.21.1
Table salt	9.3.2.2.21.1
Table salt	9.3.2.3.21.1
Table salt	9.3.2.4.21.1
Table salt	9.3.4.1.21.2
Table salt	9.3.4.2.21.2
Table salt	9.3.4.3.21.2
Table salt	9.3.5.1.21.2
Table salt	9.3.5.2.21.2
Table salt	9.3.5.3.21.2
Table salt	9.3.5.4.21.1
table salt	1.1.14.4.21.1
table salt	1.1.14.5.21.2
table salt	1.3.2.1.21.4
table salt	1.3.2.3.21.5
table salt	1.3.2.4.21.6
table salt	2.1.1.1.21.3
table salt	2.1.1.3.21.3
table salt	2.1.1.5.21.3
table salt	2.1.2.2.21.3
table salt	2.1.2.3.21.3
table salt	2.3.8.3.21.2
table salt	2.6.1.3.21.2
table salt	2.6.9.1.21.2
table salt	2.8.2.4.21.4
table salt	2.8.3.1.21.1
table salt	2.8.3.2.21.1
table salt	2.8.3.3.21.1
table salt	2.8.4.1.21.1
table salt	2.8.4.2.21.1
table salt	2.8.4.3.21.1
table salt	3.7.1.5.21.3
table salt	3.7.1.6.21.3
table salt	3.7.1.7.21.3
table salt	3.7.2.1.21.1
table salt	3.7.2.3.21.2
table salt	3.7.2.4.21.1
table salt	3.7.3.1.21.1
table salt	3.7.3.2.21.1
table salt	3.7.4.1.21.1
table salt	3.7.4.2.21.1
table salt	3.7.4.3.21.1
table salt	3.7.4.4.21.1
table salt	3.7.5.1.21.1
table salt	3.7.5.2.21.1
table salt	3.7.5.3.21.1
table salt	3.7.5.4.21.1
table salt	3.7.6.1.21.3
table salt	4.1.3.2.21.3
table salt	4.1.3.3.21.1
table salt	4.1.5.2.21.2
table salt	4.1.5.3.21.2
table salt	4.2.1.1.21.3
table salt	4.2.1.2.21.3
table salt	4.2.1.3.21.3
table salt	4.2.1.4.21.3
table salt	4.2.2.1.21.3
table salt	4.2.2.2.21.3
table salt	4.2.2.3.21.3
table salt	4.2.2.4.21.3
table salt	4.2.3.1.21.3
table salt	4.2.3.4.21.3
table salt	4.2.3.5.21.4
table salt	4.3.1.1.21.3
table salt	4.4.1.1.21.1
table salt	4.4.2.1.21.1
table salt	4.4.2.2.21.1
table salt	4.4.2.3.21.1
table salt	5.2.1.1.21.1
table salt	5.2.1.2.21.4
table salt	5.2.1.3.21.1
table salt	5.2.1.4.21.1
table salt	5.2.2.1.21.1
table salt	5.2.2.2.21.1
table salt	5.2.2.3.21.1
table salt	6.1.1.1.21.2
table salt	6.1.1.2.21.2
table salt	6.1.1.3.21.1
table salt	6.1.3.1.21.2
table salt	6.1.3.2.21.1
table salt	6.1.3.3.21.1
table salt	6.1.3.4.21.1
table salt	6.1.4.2.21.1
table salt	6.1.4.3.21.1
table salt	6.1.4.4.21.2
table salt	6.3.1.1.21.3
table salt	6.3.1.2.21.3
table salt	6.3.1.3.21.3
table salt	6.3.1.4.21.3
table salt	6.3.3.1.21.2
table salt	6.3.3.2.21.3
table salt	6.3.3.4.21.2
table salt	6.3.4.1.21.3
table salt	6.3.4.2.21.2
table salt	6.3.4.3.21.2
table salt	6.3.5.1.21.3
table salt	6.3.5.2.21.2
table salt	6.3.5.3.21.4
table salt	6.3.5.4.21.3
table salt	6.4.4.1.21.1
table salt	6.4.4.2.21.1
table salt	6.4.4.3.21.1
table salt	6.4.4.4.21.1
table salt	6.4.5.1.21.1
table salt	6.4.5.2.21.1
table salt	6.4.5.3.21.1
table salt	6.4.5.4.21.1
table salt	7.1.7.1.21.3
table salt	7.2.1.3.21.3
table salt	7.2.1.4.21.4
table salt	7.2.2.1.21.3
table salt	7.2.2.2.21.3
table salt	7.2.2.3.21.3
table salt	7.2.3.1.21.4
table salt	7.2.3.2.21.4
table salt	7.2.3.3.21.3
table salt	7.2.4.1.21.3
table salt	7.2.4.2.21.3
table salt	7.2.4.3.21.3
table salt	7.2.4.4.21.2
table salt	9.2.3.4.21.2
table salt	9.4.1.1.21.2
table salt	9.4.1.2.21.2
table salt	9.4.1.3.21.2
table salt	9.4.2.1.21.2
table salt	9.4.2.2.21.2
table salt	9.4.4.1.21.2
table salt	9.4.5.1.21.2
table salt	9.4.5.3.21.2
table salt	9.5.1.1.21.2
table salt	9.5.1.2.21.2
table salt	9.5.2.1.21.2
table salt	9.5.2.2.21.2
table salt	9.5.3.1.21.2
table salt	9.5.3.2.21.2
table salt	9.5.3.3.21.2
table salt	9.5.3.4.21.2
table salt	9.5.5.1.21.2
table salt	9.5.5.2.21.2
table salt	9.5.6.1.21.2
table salt	9.5.6.2.21.3
table salt	9.5.6.3.21.2
table salt	9.5.6.4.21.2
table salt, table salt, sal de mesa	1.2.1.4.21.1
table salt, table salt, sal de mesa	1.2.1.5.21.1
table salt, table salt, sal de mesa	1.3.4.2.21.6
table salt, table salt, sal de mesa	1.3.6.3.21.2
