1.1.3 U.S. South	1.1.2.5.24.7	1.1.3 U.S. South
1.8.2 Uruguay	2.2.1.3.24.46	1.8.2 Uruguay
2.8.2 Ukraine	2.2.1.3.24.104	2.8.2 Ukraine
3.6.3 Uganda	2.2.1.3.24.150	3.6.3 Uganda
7.3.0umpkin seeds	7.3.7.2.2.12	7.3.0umpkin seeds
8.1.3 Uzbekistan	2.2.1.3.24.287	8.1.3 Uzbekistan
ʻuala	1.1.12.1.1.4	potatoes
ʻuala	1.1.12.2.1.4	potatoes
ʻuala	1.1.12.3.1.5	potatoes
ʻuala	1.1.12.4.1.5	potatoes
ʻuala	1.1.12.5.1.4	potatoes
uasech	9.4.2.2.13.1	uasech
uasech	9.4.2.2.18.10	uasech
Ubad	7.4.2.2.18.3	Ubad
Ubad	7.4.2.2.2.11	Ubad
ubagai	6.7.1.3.6.25	ubagai
Ubajay	1.8.1.5.3.17	Ubajay
Ubajay	1.8.2.2.3.17	Ubajay
Ubajay	1.8.2.3.3.7	Ubajay
Ubari oasis dates	3.1.4.3.18.2	Ubari oasis dates
Ube	7.4.1.5.1.11	Ube
Ube wine	7.4.3.4.20.6	Ube wine
ubi nuabos	7.3.7.4.18.5	ubi nuabos
Ubinasiider	2.9.6.2.20.5	Ubinasiider
ubos	1.6.3.1.12.6	ubos
ubos	1.6.3.1.19.5	ubos
ubos	1.6.3.1.3.15	ubos
ubre de vaca	1.6.5.4.6.5	cow udder
Ubuyu	3.6.2.1.18.7	Ubuyu
Ubuyu kashata	3.6.1.1.18.8	Ubuyu kashata
Uchepo masa	1.2.2.8.1.22	Uchepo masa
Uchepos	1.2.2.8.18.3	Uchepos
Uchhe	5.5.1.1.2.10	Uchhe
Uçhisar potato	4.1.3.2.2.3	Uchisar potato
uchucuta	1.6.2.4.13.7	uchucuta
Uchujacu	1.5.4.1.18.2	Uchujacu
Uchuva	1.5.1.1.3.3	Uchuva
Uchuva	1.5.1.2.3.11	Uchuva
Uchuva	1.5.1.3.3.16	Uchuva
Uchuva	1.5.1.4.3.10	Uchuva
uchuva	1.3.7.5.3.3	uchuva
Ucuru wa mukio	3.6.1.2.14.3	Ucuru wa mukio
Ucuru wa mukio	3.6.1.2.20.5	Ucuru wa mukio
uda	3.4.6.2.19.8	uda
uda	3.4.6.2.8.1	uda
uda	3.4.6.3.8.7	uda
uda	3.4.6.4.8.12	uda
Uda golden burdock	6.7.4.4.18.2	Uda golden burdock
Uda golden burdock	6.7.4.4.2.2	Uda golden burdock
Uda golden burdock	6.7.4.4.9.5	Uda golden burdock
udang galah	7.2.3.3.6.3	udang galah
udang geragau	7.2.1.1.18.4	udang geragau
udang geragau	7.2.4.2.6.5	udang geragau
udang rebon	7.3.1.4.6.8	udang rebon
udang rebon	7.3.4.1.6.12	udang rebon
udang selingkuh	7.3.7.2.18.4	udang selingkuh
udang selingkuh	7.3.7.2.6.6	udang selingkuh
Uddanam coconut	5.6.4.1.18.2	Uddanam coconut
Udech	9.4.2.1.6.4	Udech
údená slanina	2.5.6.1.14.10	smoked bacon
údená slanina	2.5.6.2.14.9	smoked bacon
údená slanina	2.5.6.2.6.10	smoked bacon
údená slanina	2.5.6.3.14.8	smoked bacon
údená slanina	2.5.6.3.6.7	smoked bacon
údené bravčové koleno	2.5.6.2.14.7	smoked pork knee
údené bravčové koleno	2.5.6.2.6.4	smoked pork knee
údené bravčové mäso	2.5.6.1.14.8	smoked pork
údené bravčové mäso	2.5.6.1.6.10	smoked pork
údené bravčové mäso	2.5.6.2.14.6	smoked pork
údené bravčové mäso	2.5.6.2.6.7	smoked pork
údené bravčové mäso	2.5.6.3.14.6	smoked pork
údené bravčové mäso	2.5.6.3.6.4	smoked pork
údený bok	2.5.6.1.14.9	smoked flank
údený bok	2.5.6.1.6.11	smoked flank
údený bok	2.5.6.2.14.8	smoked flank
údený bok	2.5.6.2.6.8	smoked flank
údený bok	2.5.6.3.14.7	smoked flank
údený bok	2.5.6.3.6.5	smoked flank
údený kapor	2.5.6.1.14.11	smoked carp
údený kapor	2.5.6.1.6.25	smoked carp
údený kapor	2.5.6.2.6.29	smoked carp
údený kapor	2.5.6.3.14.10	smoked carp
údený kapor	2.5.6.3.6.18	smoked carp
údený oštiepok	2.5.6.2.11.8	smoked spearfish
údený oštiepok	2.5.6.2.14.12	smoked spearfish
údený pološtiepok	2.5.6.1.11.17	smoked half-chip
údený pološtiepok	2.5.6.1.14.14	smoked half-chip
údený pološtiepok zo Záhoria	2.5.6.1.18.12	smoked half-chip from Záhori
údený pstruh	2.5.6.1.14.12	smoked trout
údený pstruh	2.5.6.2.6.30	smoked trout
Udid	5.4.5.2.4.3	Udid
udo	6.7.1.2.7.6	udo
udo	6.7.3.2.2.19	udo
udo	6.7.3.2.9.10	udo
udo leaves	6.7.3.2.7.6	udo leaves
udo moromi-zuke	6.7.1.1.13.9	udo moromi-zuke
udo moromi-zuke	6.7.1.1.14.12	udo moromi-zuke
udo sweet-vinegar pickle	6.7.1.1.14.11	udo sweet-vinegar pickle
udon flour	6.7.3.1.1.5	udon flour
udon flour	6.7.4.1.1.6	udon flour
udon noodles	6.7.5.3.1.8	udon noodles
udon noodles	6.7.7.3.1.9	udon noodles
Uel	5.5.2.3.9.1	Uel
