1.5.3 Venezuelan	2.2.1.3.24.29
2.2.6 Valencia / East Coast	2.2.1.3.24.62
7.1.7 Vietnam North	2.2.1.3.24.264
7.1.8 Vietnam Central	2.2.1.3.24.265
7.1.9 Vietnam South	2.2.1.3.24.266
7.4.2 Visayas	2.2.1.3.24.278
vaca	2.2.2.4.6.5
vaca galega	2.2.2.2.6.2
Vacherin Fribourgeois AOP	2.5.4.2.11.23
Vacherin Fribourgeois AOP	2.5.4.2.18.31
Vacherin fribourgeois AOP	2.5.4.2.11.9
Vacherin fribourgeois AOP	2.5.4.2.18.15
Vacherin Mont-d'Or AOP	2.5.4.2.11.10
Vacherin Mont-d'Or AOP	2.5.4.2.18.16
Vacoa cabbage, Vacoa cabbage, Chou de vacoa	3.8.3.1.18.8
Vacoa cabbage, Vacoa cabbage, Chou de vacoa	3.8.3.1.2.18
Vacoa cabbage, Vacoa cabbage, Chou de vacoa	3.8.3.3.18.4
Vacoa cabbage, Vacoa cabbage, Chou de vacoa	3.8.3.3.2.10
Vacoa fruit	3.8.3.1.18.10
Vacoa fruit	3.8.3.3.18.6
Vacoa fruit	3.8.3.3.3.2
Vacoa leaves	3.8.3.3.23.5
Vacoa woven baskets	3.8.3.1.23.4
Vacoas	3.8.2.2.6.4
Vacuno	1.8.3.2.6.6
Vacuno	1.8.4.1.6.1
Vacuno	1.8.4.2.6.21
Vacuno	1.8.4.3.6.1
Vacuno	1.8.5.1.6.1
Vacuno	1.8.5.2.6.8
Vacuno	1.8.5.3.6.1
Vacuno	1.8.5.4.6.2
Vacuno	1.8.6.1.6.1
Vacuno	1.8.6.2.6.1
Vacuno	1.8.6.3.6.1
Vacuno	1.8.6.4.6.1
Vadaham	5.8.1.1.14.10
Vadehavslam	2.9.1.1.18.3
Vadiyalu	5.6.5.3.14.11
Vadumangai pickle	5.6.2.1.13.13
Vadumangai pickle	5.6.2.2.13.14
Vaftra grapes	2.7.2.4.3.17
vai tipolo	9.5.1.2.16.8
vai tipolo	9.5.1.2.20.5
Vaiana peas from Castronuovo Sant'Andrea, Vaiana peas from Castronuovo Sant'Andrea, piselli a vaiana di Castronuovo Sant'Andrea	2.4.5.3.4.13
vainica	1.3.6.1.2.36
vainica	1.3.6.2.2.27
vainica	1.3.6.4.2.13
vainica	1.3.6.5.2.8
Vainilla	1.3.4.5.8.6
Vainilla	1.4.1.2.8.7
Vainilla	1.4.1.3.8.11
Vainilla	1.4.3.4.8.13
Vainilla	1.5.1.1.8.10
Vainilla	1.5.2.2.8.7
Vainilla	1.5.2.3.8.10
Vainilla	1.5.2.4.8.7
Vainilla	1.5.3.1.8.12
Vainilla	1.5.3.4.8.8
vainilla	1.2.3.1.18.4
vainilla	1.3.4.4.8.11
vainilla	1.3.6.2.8.16
vainilla	1.3.6.3.8.8
vainilla	1.3.6.4.8.12
vainilla	1.3.6.5.8.5
vainilla	1.3.7.1.8.10
vainilla	1.3.7.2.8.8
vainilla	1.3.7.3.8.3
vainilla	1.6.1.1.8.12
vainilla	1.6.1.2.8.10
vajcia	2.5.6.1.6.26
vajcia	2.5.6.2.6.31
vajcia	2.5.6.3.6.19
Vakfıkebir Bread, Vakfıkebir Bread, Vakfıkebir Ekmeği	4.1.4.3.1.15
Vakfıkebir Bread, Vakfıkebir Bread, Vakfıkebir Ekmeği	4.1.4.3.18.7
Vakfıkebir Kulek Cheese, Vakfıkebir Kulek Cheese, Vakfıkebir Külek Peyniri	4.1.4.3.11.6
Vakfıkebir Kulek Cheese, Vakfıkebir Kulek Cheese, Vakfıkebir Külek Peyniri	4.1.4.3.14.12
Vakfıkebir Kulek Cheese, Vakfıkebir Kulek Cheese, Vakfıkebir Külek Peyniri	4.1.4.3.18.8
Vakharman melon	8.1.5.1.18.1
Vakharman melon	8.1.5.1.3.12
Vakharman melon	8.1.5.2.18.1
Vakharman melon	8.1.5.2.3.3
Vakharman melon	8.1.5.3.18.4
Vakharman melon	8.1.5.3.3.3
Vakwerk blond beer	2.3.8.3.20.6
Val di Mazara DOP oil, Val di Mazara DOP oil, Olio Val di Mazara DOP	2.4.6.3.10.2
Val di Non DOP apple, Val di Non DOP apple, Mela Val di Non DOP	2.4.2.3.18.4
Val di Non DOP Golden Delicious apple, Val di Non DOP Golden Delicious apple, Mela Val di Non DOP Golden Delicious	2.4.2.3.3.11
Val di Non PDO Red Delicious apple, Val di Non PDO Red Delicious apple, Mela Val di Non DOP Red Delicious	2.4.2.3.3.12
Val di Non PDO Renetta apple, Val di Non PDO Renetta apple, Mela Val di Non DOP Renetta	2.4.2.3.3.13
Val Tidone IGP	2.4.3.4.20.5
Valais AOP rye bread, Valais AOP rye bread, Pain de seigle valaisan AOP	2.5.4.2.1.39
Valais AOP rye bread, Valais AOP rye bread, Pain de seigle valaisan AOP	2.5.4.2.18.32
Valais AOP rye bread, Valais AOP rye bread, pain de seigle valaisan AOP	2.5.4.2.1.2
Valais AOP rye bread, Valais AOP rye bread, pain de seigle valaisan AOP	2.5.4.2.18.20
Valais IGP raw ham, Valais IGP raw ham, Jambon cru du Valais IGP	2.5.4.2.14.23
Valais IGP raw ham, Valais IGP raw ham, Jambon cru du Valais IGP	2.5.4.2.6.45
Valais pear brandy AOP, Valais pear brandy AOP, Eau-de-vie de poire du Valais AOP	2.5.4.2.18.22
Valais pear brandy AOP, Valais pear brandy AOP, Eau-de-vie de poire du Valais AOP	2.5.4.2.19.8
Valais pear brandy AOP, Valais pear brandy AOP, Eau-de-vie de poire du Valais AOP	2.5.4.2.20.16
Valais Raclette shavings, Valais Raclette shavings, copeaux de Raclette du Valais	2.5.4.2.17.7
valak	4.6.2.1.2.15
valak	4.6.2.1.7.10
Valangur	9.3.1.1.7.7
Valangur	9.3.1.3.19.7
Valangur	9.3.1.3.7.8
Valchi bhaji	5.4.3.1.2.31
Valchi bhaji leaves	5.4.3.1.7.6
Valdeorras branco	2.2.2.2.20.4
Valdeorras white wine, Valdeorras white wine, viño branco Valdeorras	2.2.2.2.12.6
Valdeorras white wine, Valdeorras white wine, viño branco Valdeorras	2.2.2.2.16.7
Valdepeñas wine, Valdepeñas wine, vino de Valdepeñas	2.2.4.2.14.12
Vale of Evesham Asparagus	2.1.1.2.18.2
Vale of Evesham Asparagus	2.1.1.2.2.1
Valençay AOP, Valençay AOP, Valençay AOP	2.3.2.2.18.5
Valencay, Valencay, Valençay	2.3.2.2.11.10
Valencia orange	3.2.1.1.3.16
Valencia orange	3.2.1.2.3.3
Valencia orange	4.3.1.4.3.4
Valencia orange	4.3.1.5.3.4
Valencia orange	4.3.2.3.3.4
Valencia orange	4.3.5.2.3.3
Valencia orange	9.1.2.1.3.3
Valencia orange	9.2.1.2.3.9
valencia orange	4.3.1.1.3.6
Valencia oranges	1.1.10.4.3.8
Valencia oranges	1.1.10.5.3.11
Valencia oranges	1.1.8.1.3.5
Valencia oranges	1.1.9.2.3.6
Valencia oranges	3.7.1.2.3.2
Valencia oranges	6.5.3.2.3.8
Valencia oranges	9.1.3.2.3.13
Valencia Switzerland, Valencia Switzerland, Suisse de Valence	2.3.5.3.18.10
Valencian bread, Valencian bread, pa valencià	2.2.6.1.1.9
Valencian dumpling, Valencian dumpling, clòtxina valenciana	2.2.6.1.18.10
Valencian dumpling, Valencian dumpling, clòtxina valenciana	2.2.6.1.6.10
Valencian stir-fry, Valencian stir-fry, sofregit valencià	2.2.6.1.13.3
Valentino green bean	3.2.1.1.2.17
Valerian	6.8.1.1.19.12
Valerian	6.8.1.3.19.2
valerian	8.1.2.4.19.7
Valerian root	6.8.1.1.8.7
Valerian root	6.8.1.4.19.6
valerian root	8.1.2.1.19.8
valerian root	8.1.2.3.19.9
Valeriana	1.3.5.1.19.8
Valeriana	1.5.1.1.19.5
Valeriana	1.5.1.2.19.10
Valeriana	1.5.1.3.19.7
valeriana	1.3.4.4.19.8
Valet, Valet, Valèt	2.3.7.3.11.11
Valganna beer, Valganna beer, Birra della Valganna	2.4.1.4.20.13
Valgejõe berry wine, Valgejõe berry wine, Valgejõe berry wine	2.9.6.1.18.5
Valgejõe fruit wine, Valgejõe fruit wine, Valgejõe fruit wine	2.9.6.1.18.4
Valladolid bread, Valladolid bread, Pan de Valladolid	2.2.4.1.1.3
Valladolid bread, Valladolid bread, Pan de Valladolid	2.2.4.1.18.6
Vallanes rapeseed oil	2.9.5.3.18.3
Valle d'Aosta coffee, Valle d'Aosta coffee, caffè alla valdostana	2.4.1.3.20.25
Valle d'Aosta DOC	2.4.1.3.20.1
Vallée d'Aoste Lard d'Arnad DOP, Vallée d'Aoste Lard d'Arnad DOP, Vallée d'Aoste Lard d'Arnad DOP	2.4.1.3.14.1
Vallée d'Aoste Lard d'Arnad DOP, Vallée d'Aoste Lard d'Arnad DOP, Vallée d'Aoste Lard d'Arnad DOP	2.4.1.3.6.4
Vallerano chestnut DOP, Vallerano chestnut DOP, Castagna di Vallerano DOP	2.4.4.2.18.7
Vallerano chestnut DOP, Vallerano chestnut DOP, Castagna di Vallerano DOP	2.4.4.2.3.1
Valmiera cheese	2.9.7.3.11.10
Valmiermuiža beer, Valmiermuiža beer, Valmiermuiža beer	2.9.7.3.18.1
Valmiermuiža beer, Valmiermuiža beer, Valmiermuiža beer	2.9.7.3.20.1
Valor papdi	5.4.1.1.2.9
Valor papdi	5.4.1.4.2.2
Valpolicella DOC	2.4.2.1.20.15
Valpolicella Ripasso DOC	2.4.2.1.20.16
Valsadi Hafoos mango	5.4.1.4.3.1
Vanaspati	5.5.3.2.10.5
Vanaspati	5.6.1.1.10.5
Vanaspati	5.6.5.1.10.6
vanaspati	5.2.1.1.10.9
vanaspati	5.2.2.1.10.8
Vänernöjrom, Vänernöjrom, Vänerlöjrom	2.9.3.2.18.9
Vangi bath powder	5.6.3.3.13.9
Vangi bath powder	5.6.3.3.18.7
Vangueria infausta fruit	3.7.3.3.3.15
vaniglia	2.4.1.1.8.8
vaniglia	2.4.1.3.8.9
vaniglia	2.4.1.4.8.8
vaniglia	2.4.4.1.8.6
vaniglia	2.4.6.2.8.12
vaniglia	2.4.6.3.8.16
Vanilla	1.2.3.5.18.3
Vanilla	1.2.3.6.18.3
Vanilla	1.3.2.1.8.6
Vanilla	1.3.2.3.8.10
Vanilla	1.3.5.1.8.8
Vanilla	1.3.6.1.8.8
Vanilla	2.3.1.1.8.2
Vanilla	2.3.1.2.8.6
Vanilla	2.3.1.4.8.5
