2.1.3 Wales	2.2.1.3.24.55	2.1.3 Wales
2.8.7 Western Russia	2.2.1.3.24.109	2.8.7 Western Russia
3.4 West Africa	2.2.1.3.24.134	3.4 West Africa
4.6.3 Western Iran / Zagros	2.2.1.3.24.196	4.6.3 Western Iran / Zagros
5.4 West and Central India	2.2.1.3.24.212	5.4 West and Central India
6.4 Western China	2.2.1.3.24.239	6.4 Western China
7.5.2 West Timor foodways	2.2.1.3.24.282	7.5.2 West Timor foodways
8.2.1 Western Siberia	2.2.1.3.24.291	8.2.1 Western Siberia
8424 watermelon	6.2.2.2.3.21	8424 watermelon
Wabul	1.3.4.4.18.6	Wabul
Wabul	1.3.4.4.20.1	Wabul
Wabul	1.3.5.3.20.1	Wabul
wabul	1.3.4.4.18.10	wabul
wabul	1.3.4.4.20.8	wabul
wabul	1.3.5.3.18.18	wabul
wabul	1.3.5.3.20.10	wabul
Wachauer Marille	2.5.3.2.3.1	Wachauer Marille
Wachauer Marille g.U.	2.5.3.2.18.2	Wachauer Marille g.U.
Wachauer Marille g.U.	2.5.3.2.3.26	Wachauer Marille g.U.
Wacholder	2.5.1.1.8.12	Wacholder
Wacholder	2.5.1.3.8.7	Wacholder
Wacholder	2.5.2.2.8.7	Wacholder
Wacholder	2.5.2.4.8.17	Wacholder
Wacholderbeeren	2.5.2.3.8.15	Wacholderbeeren
Wacholderbeeren	2.5.2.4.8.6	Wacholderbeeren
Wacholderbeeren	2.5.3.1.8.7	Wacholderbeeren
Wacholderbeeren	2.5.3.2.8.9	Wacholderbeeren
Wacholderbeeren	2.5.3.3.8.7	Wacholderbeeren
Wacholderbeeren	2.5.3.4.8.6	Wacholderbeeren
Wacholderbeeren	2.5.4.4.8.9	Wacholderbeeren
Wacholderrauch	2.5.1.1.24.3	Wacholderrauch
Wacholderrauch	2.5.1.3.24.3	Wacholderrauch
Wacholderzweige	2.5.4.1.24.1	Wacholderzweige
Wad Khateeb date	3.2.2.2.3.8	Wad Khateeb date
Wad Laggi date	3.2.2.2.3.9	Wad Laggi date
Wada Kolam rice	5.4.2.1.1.2	Wada Kolam rice
Wada Kolam rice	5.4.2.1.18.1	Wada Kolam rice
Wadden honey	2.3.8.2.15.3	Wadden honey
Wadden honey	2.3.8.2.18.2	Wadden honey
Wadden mussels	2.3.8.2.6.3	Wadden mussels
Wadden Sea shrimp	2.3.8.2.6.1	Wadden Sea shrimp
Waddengeluk potatoes	2.3.8.2.1.2	Waddengeluk potatoes
Wadi	5.3.2.1.14.8	Wadi
Wadi	5.3.2.1.18.8	Wadi
Wadi	5.3.2.2.14.9	Wadi
Wadi	5.3.2.2.18.7	Wadi
Wadi	5.3.2.3.14.9	Wadi
Wadi	5.3.2.3.18.8	Wadi
wadi	7.3.4.2.14.3	wadi
wadi ikan	7.3.4.4.14.1	wadi ikan
Wadi stones	4.5.5.3.24.1	Wadi stones
Wadjit	7.4.4.4.18.14	Wadjit
Wadmah	4.5.3.1.13.3	Wadmah
Wadmah	4.5.3.1.14.2	Wadmah
Wadmah	4.5.3.1.18.5	Wadmah
Wadmah	4.5.3.4.13.1	Wadmah
Wadmah	4.5.3.4.18.7	Wadmah
Waffle cones	2.9.1.4.23.4	Waffle cones
wagashi	3.4.5.2.11.4	wagashi
wagashi	3.4.5.2.18.7	wagashi
wagashi	3.4.5.4.11.3	wagashi
wagashi	3.4.5.4.18.2	wagashi
wagashi	3.4.7.4.11.6	wagashi
wagashi	3.4.7.4.18.11	wagashi
Wagit	7.4.4.1.18.4	Wagit
Wagramer Nuss	2.5.3.2.18.10	Wagramer Nuss
Wagramer Nuss	2.5.3.2.5.1	Wagramer Nuss
Wagyu beef	9.1.4.3.6.1	Wagyu beef
Wahoo	1.4.6.4.6.15	Wahoo
Wahoo	1.4.8.1.6.12	Wahoo
Wahoo	1.4.8.2.6.14	Wahoo
Wahoo	3.3.3.1.6.10	Wahoo
Wahoo	3.3.3.2.6.11	Wahoo
Wahoo	3.8.4.2.6.4	Wahoo
Wahoo	9.3.5.2.6.12	Wahoo
wahoo	9.4.1.1.6.14	wahoo
wahoo	9.4.2.2.6.16	wahoo
wahoo	9.4.3.2.6.15	wahoo
wahoo	9.4.3.3.6.7	wahoo
wahoo	9.4.3.4.6.12	wahoo
wahoo	9.4.4.1.6.14	wahoo
wahoo	9.4.4.2.6.6	wahoo
wahoo	9.4.5.3.6.7	wahoo
wahoo	9.5.1.1.6.9	wahoo
wahoo	9.5.2.2.6.11	wahoo
wahoo	9.5.2.3.6.11	wahoo
wahoo	9.5.3.1.6.9	wahoo
wahoo	9.5.3.2.6.7	wahoo
wahoo	9.5.3.3.6.9	wahoo
wahoo	9.5.5.1.6.6	wahoo
wahoo	9.5.5.2.6.7	wahoo
waiheke olive oil	9.2.2.1.10.2	waiheke olive oil
waiheke olive oil	9.2.2.1.13.2	waiheke olive oil
waiheke olive oil	9.2.2.1.18.5	waiheke olive oil
Waikato olive oil	9.2.2.2.10.9	Waikato olive oil
Waikato River water	9.2.2.2.16.2	Waikato River water
Waimānalo greens	1.1.12.1.18.2	Lost greens
Waitaki Camembert	9.2.3.2.11.8	Waitaki Camembert
wajid Jawa	7.2.4.3.18.9	wajid Jawa
wajid Jawa Temburong	7.2.3.3.18.2	wajid Jawa Temburong
Wakamatsu Myoken kaki	6.7.6.1.6.13	Wakamatsu Myoken kaki
Wakamatsu pork	6.7.1.1.6.43	Wakamatsu pork
Wakamatsu shiokaze cabbage	6.7.6.1.2.9	Wakamatsu shiokaze cabbage
Wakame	2.3.1.2.18.13	Wakame
wakame	1.1.14.3.18.14	wakame
wakame	2.3.8.4.7.4	wakame
wakame	6.7.1.1.17.5	wakame
wakame	6.7.1.1.8.7	wakame
wakame	6.7.2.1.8.11	wakame
wakame	6.7.2.3.19.2	wakame
wakame broth	6.7.2.3.16.3	wakame broth
wakame flakes	2.3.8.4.17.3	wakame flakes
wakame flakes	2.3.8.4.8.3	wakame flakes
wakame sea salt	2.3.8.4.21.4	wakame sea salt
wakame sea salt blend	2.3.8.4.13.6	wakame sea salt blend
Wakasa beef	6.7.5.1.6.28	Wakasa beef
Wakasa fugu	6.7.5.1.6.12	Wakasa fugu
Wakasa guji	6.7.5.1.18.14	Wakasa guji
Wakasa guji	6.7.5.1.6.11	Wakasa guji
Wakasa mahata	6.7.5.1.6.19	Wakasa mahata
Wakasa oysters	6.7.5.1.6.16	Wakasa oysters
wakasagi	6.7.1.3.6.12	wakasagi
wakasagi	6.7.2.1.6.17	wakasagi
