6.4.4 Xinjiang	2.2.1.3.24.242
Xa Doai orange, Xa Doai orange, cam Xã Đoài orange	7.1.8.1.18.5
Xa Doai orange, Xa Doai orange, cam Xã Đoài orange	7.1.8.1.19.6
Xa Doai orange, Xa Doai orange, cam Xã Đoài orange	7.1.8.1.3.3
xabaril	2.2.2.2.6.20
Xacuti masala	5.4.3.1.13.2
xai	2.2.5.3.6.5
xai	2.2.5.4.6.4
xai xisqueta	2.2.5.4.18.7
xai xisqueta	2.2.5.4.6.3
Xaj pani	5.5.5.1.20.4
xamues	1.2.2.5.6.14
xamues sauce, xamues sauce, salsa de xamues	1.2.2.5.13.1
Xandoh guri	5.5.5.1.1.10
Xanthi wine	2.7.1.5.20.8
Xanthosoma	5.4.2.1.2.18
Xanthosoma taro	9.4.3.3.1.27
xanthosoma taro	9.4.2.2.1.5
xanthosoma taro	9.4.2.2.18.5
xapadillo	2.2.6.4.18.7
xapadillo d'anguila	2.2.6.4.14.1
Xapata cherries	2.3.4.2.3.2
xaréu, xaréu, xaréu	1.7.2.3.6.4
xató sauce, xató sauce, salsa de xató	2.2.5.1.13.5
Xawaash	3.3.3.1.13.1
Xawaash	3.3.3.1.17.7
Xawaash	3.3.3.1.8.1
Xawaash	3.3.3.2.13.1
Xawaash	3.3.3.2.17.4
Xawaash	3.3.3.2.8.1
Xeixa wheat	2.2.8.1.18.5
Xeixa wheat	2.2.8.3.18.9
Xeixa wheat flour	2.2.8.1.1.1
Xeixa wheat flour	2.2.8.3.1.1
Xeixa wheat from Menorca, Xeixa wheat from Menorca, Blat xeixa de Menorca	2.2.8.2.1.1
xema de ovo, xema de ovo, xema de ovo	2.2.2.1.22.5
xema de ovo, xema de ovo, xema de ovo	2.2.2.2.22.5
xerém, xerém, xerém	2.2.1.5.1.8
xérém, xérém, xérém	2.2.1.5.18.1
Xi Shi She clam	6.1.2.1.18.10
Xi Shi She clam	6.1.2.1.6.8
Xiaguan tuo tea	6.4.2.2.20.3
Xiamen estuary oyster	6.3.3.2.6.10
Xian County meat duck	6.1.4.1.18.16
Xian County meat duck	6.1.4.1.6.7
Xiangcheng apple	6.4.1.4.3.3
Xiangcheng red wine	6.4.1.4.20.8
Xiangfei crabapple	6.4.4.2.3.7
Xianghuang chicken	6.2.3.3.18.8
Xianghuang chicken	6.2.3.3.6.8
Xianglian lotus seeds	6.2.3.3.18.3
Xianglian lotus seeds	6.2.3.3.19.1
Xianglian lotus seeds	6.2.3.3.5.1
Xiangou beef	6.3.5.1.18.15
Xiangou beef	6.3.5.1.6.8
Xiangshan Red Beauty citrus	6.2.1.2.3.2
Xiangshui strawberries	6.5.1.3.3.2
Xiangxi bacon	6.2.3.2.14.14
Xiangxi bacon	6.2.3.2.18.14
Xiangxi cured pork	6.2.3.2.6.6
Xiangxi kiwifruit	6.2.3.2.18.4
Xiangxi kiwifruit	6.2.3.2.3.6
Xiangxi ponkan	6.2.3.2.18.1
Xiangxi ponkan	6.2.3.2.3.1
Xianjia fermented tofu	6.4.1.2.14.8
Xianjinfeng lychee	6.3.1.2.3.2
xianshi soy sauce	6.4.1.3.13.1
Xiantao lychee	6.3.5.1.3.5
Xiaogan rice wine	6.2.3.1.14.1
Xiaogan rice wine	6.2.3.1.16.9
Xiaogan rice wine	6.2.3.1.18.12
Xiaogan rice wine	6.2.3.1.19.11
Xiaogan rice wine	6.2.3.1.20.1
Xiaojin apple	6.4.1.4.3.2
Xiaolan centifolia wine	6.3.1.1.20.8
Xiaolan watermelon	6.2.1.3.3.2
xiaolong wrappers	6.2.2.1.23.3
Xiaoqiu seaweed	6.3.3.2.18.5
Xiaoxian grapes	6.2.4.2.18.5
Xiaoxian grapes	6.2.4.2.3.6
Xiaoxian white goat	6.2.4.2.18.12
Xiaoxian white goat	6.2.4.2.6.5
Xiaozhan rice	6.1.1.2.1.1
Xiaozhan rice	6.1.1.2.18.1
Xiapu seaweed	6.3.3.1.18.8
Xico mole, Xico mole, mole de Xico	1.2.3.2.13.6
Xidi bayberry	6.2.1.4.3.10
Xijiu	6.4.3.3.20.12
Xikinché, Xikinché, Xikinché	1.3.1.3.18.1
Ximenia caffra	3.7.5.4.19.3
Ximenia fruit	3.3.1.5.18.8
Ximenia fruit	3.3.1.5.2.25
Ximenia fruit	3.7.3.3.3.13
Ximenia fruits	3.7.3.2.3.8
Ximenia juice	3.7.3.3.16.10
ximenia kernels	3.7.2.2.22.5
ximenia kernels	3.7.2.2.5.3
ximenia oil	3.7.2.2.10.2
ximenia oil	3.7.2.2.13.7
